centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,45,5,48,32,-180,0,-180,-180,0.06193468891350773,0.046343975283213185,0.04943357363542739,0.032955715756951595
-162,9,-162,-162,52,14,54,31,-168,6,-168,-168,0.058017593952709855,0.053553038105046344,0.055612770339855816,0.03192584963954686
-150,15,-150,-150,27,17,21,31,-156,12,-156,-156,0.04258109355857742,0.027806385169927908,0.021627188465499485,0.03192584963954686
-138,21,-138,-138,22,21,24,34,-144,18,-144,-144,0.03798868433029151,0.02265705458290422,0.024716786817713696,0.035015447991761074
-126,27,-126,-126,28,16,25,13,-132,24,-132,-132,0.022847429068280634,0.028836251287332648,0.025746652935118436,0.013388259526261586
-114,33,-114,-114,36,18,22,28,-120,30,-120,-120,0.021425346803704,0.037075180226570546,0.02265705458290422,0.028836251287332648
-102,39,-102,-102,42,38,28,30,-108,36,-108,-108,0.039144965321283344,0.04325437693099897,0.028836251287332648,0.030895983522142123
-90,45,-90,-90,26,29,20,43,-96,42,-96,-96,0.0265874762904398,0.026776519052523172,0.02059732234809475,0.044284243048403706
-78,51,-78,-78,21,32,37,26,-84,48,-84,-84,0.026693867702861064,0.021627188465499485,0.03810504634397528,0.026776519052523172
-66,57,-66,-66,21,35,27,20,-72,54,-72,-72,0.027054577863474375,0.021627188465499485,0.027806385169927908,0.02059732234809475
-54,63,-54,-54,51,59,22,12,-60,60,-60,-60,0.04292746546141614,0.05252317198764161,0.02265705458290422,0.012358393408856848
-42,69,-42,-42,45,64,21,27,-48,66,-48,-48,0.0444418732273139,0.046343975283213185,0.021627188465499485,0.027806385169927908
-30,75,-30,-30,27,56,36,43,-36,72,-36,-36,0.037584464669639675,0.027806385169927908,0.037075180226570546,0.044284243048403706
-18,81,-18,-18,29,78,33,34,-24,78,-24,-24,0.05119632596283855,0.029866117404737384,0.03398558187435633,0.035015447991761074
-6,87,-6,-6,41,45,26,40,-12,84,-12,-12,0.029212735558886385,0.042224510813594233,0.026776519052523172,0.0411946446961895
6,93,6,6,32,51,44,33,0,90,0,0,0.0331077669667379,0.032955715756951595,0.04531410916580844,0.03398558187435633
18,99,18,18,43,69,57,33,12,96,12,12,0.04528905758251104,0.044284243048403706,0.05870236869207003,0.03398558187435633
30,105,30,30,25,55,32,29,24,102,24,24,0.03691331351482468,0.025746652935118436,0.032955715756951595,0.029866117404737384
42,111,42,42,27,44,29,23,36,108,36,36,0.030553787843778307,0.027806385169927908,0.029866117404737384,0.02368692070030896
54,117,54,54,30,43,42,27,48,114,48,48,0.03128611889560837,0.030895983522142123,0.04325437693099897,0.027806385169927908
66,123,66,66,29,48,24,31,60,120,60,60,0.03710342106990771,0.029866117404737384,0.024716786817713696,0.03192584963954686
78,129,78,78,47,25,41,35,72,126,72,72,0.020854584142860202,0.04840370751802266,0.042224510813594233,0.03604531410916581
90,135,90,90,26,17,34,63,84,132,84,84,0.01558576196336126,0.026776519052523172,0.035015447991761074,0.06488156539649846
102,141,102,102,26,25,19,30,96,138,96,96,0.025753266658739025,0.026776519052523172,0.01956745623069001,0.030895983522142123
114,147,114,114,19,10,13,29,108,144,108,108,0.011902970446502226,0.01956745623069001,0.013388259526261586,0.029866117404737384
126,153,126,126,26,18,33,35,120,150,120,120,0.025703357701815702,0.026776519052523172,0.03398558187435633,0.03604531410916581
138,159,138,138,26,11,46,21,132,156,132,132,0.01989883464920032,0.026776519052523172,0.04737384140061792,0.021627188465499485
150,165,150,150,35,17,42,58,144,162,144,144,0.04258109355857738,0.03604531410916581,0.04325437693099897,0.05973223480947477
162,171,162,162,27,10,47,35,156,168,156,156,0.041441138537649864,0.027806385169927908,0.04840370751802266,0.03604531410916581
174,177,174,174,40,1,24,45,168,174,168,168,0.01238693778270155,0.0411946446961895,0.024716786817713696,0.046343975283213185
