z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,rad_um,neighbors,contacts_50nm,contacts_30nm,contacts_100nm
9.27108703831,82.8292574779,101.744072798,7.30104337289,0.0,12.9214972453,10.5193156997,1.1125304446,0.0,-0.0209511247,0.0391895276,-0.06700762541,0.0804039213148,-0.0168734732326,0.0346966801332,-0.0305642775522,0.0492214259595,0.0794390019797,0.0773213785074,0.927232508357,"[54, 181, 227]",2.0,2.0,3.0
8.71269015994,83.1378364351,101.579103312,7.33633791497,1.0,12.9005461206,10.5585052273,1.04552281919,0.0,-0.0664668964,-0.0481870762,0.05618065705,0.0994791880562,-0.0550916253837,-0.0415131578852,0.0657577830568,0.095302232385,0.0922678043886,0.088964575487,0.931714915201,"[54, 181, 227]",2.0,2.0,3.0
9.18086230198,82.7584106389,101.055741923,7.29359004017,2.0,12.8340792242,10.5103181511,1.10170347624,0.0,-0.0412645513,0.023698871,-0.02211613419,0.052474022832,0.00474063518975,0.0150428923995,0.00403942779163,0.0162812533495,0.0327602426759,0.0271640502366,0.926285935102,"[54, 181, 227]",2.0,2.0,3.0
8.99656118376,82.9450159224,100.730824196,7.27691833459,3.0,12.7928146729,10.5340170221,1.07958734205,0.0,,,,,,,,,,,0.924168628493,"[181, 227]",2.0,2.0,2.0
17.0526311844,101.60144068,118.555956632,9.42931570783,0.0,15.0566064923,12.9033829664,2.04631574213,1.0,-0.0123779253,0.0003119435,-0.0469908384,0.0485947449527,-0.00830027383263,-0.00418090396685,-0.0105474905422,0.0140578825011,0.0477192911513,0.0479010792907,1.19752309489,"[54, 90, 163]",3.0,2.0,3.0
16.6610408644,101.603896928,118.458492653,9.44081143326,1.0,15.044228567,12.9036949099,1.99932490373,1.0,-0.0381186649,-0.0499717805,-0.05682040682,0.0847276229531,-0.0267433938837,-0.0432978621852,-0.0472432808132,0.0694394813361,0.0802555081845,0.0762789133209,1.19898305202,"[54, 90]",2.0,2.0,2.0
16.1875374743,101.210418341,118.158345686,9.38490753641,2.0,15.0061099021,12.8537231294,1.94250449691,1.0,-0.018347935,0.0141359523,-0.0460304216,0.0515293273667,0.0276572514898,0.00547997369951,-0.0198748596184,0.0344958507152,0.0555297075453,0.0539791939954,1.19188325712,"[54, 90, 163]",2.0,2.0,3.0
15.8039506276,101.321725052,118.013873757,9.41602639433,3.0,14.9877619671,12.8678590817,1.89647407531,1.0,,,,,,,,,,,1.19583535208,"[54, 90]",2.0,2.0,2.0
13.3232541063,59.3568366294,97.3197562793,7.5646758168,0.0,12.3596090475,7.53831825193,1.59879049276,2.0,-0.0175455512,-0.02327234014,0.0070070276,0.0299757671844,-0.0134678997326,-0.0277651876068,0.0434503754578,0.0532937622379,0.0277864098902,0.0316447215478,0.960713828734,"[16, 18, 125]",2.0,1.0,3.0
13.381646003,59.1735898566,97.1816023329,7.56491486265,1.0,12.3420634963,7.51504591179,1.60579752036,2.0,-0.0345296846,-0.03007926423,-0.03474666014,0.0574838381293,-0.0231544135837,-0.0234053459152,-0.0251695341332,0.0414420382498,0.0514608530429,0.047867185803,0.960744187557,"[16, 18]",2.0,1.0,2.0
