z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um,neighbors,next_nbs,contacts
1.79631981561,76.040690997,82.6590435646,7.55120586403,1.0,10.4976985327,9.65716775661,0.215558377873,5.0,-0.0322048535,-0.12585894981,0.024474077908,0.13219912377,0.0599552214033,-0.120480578674,0.0288095162719,0.137623350631,0.141541811173,0.136781500578,3.0,2.0,none,none,none
11.3254885432,72.576324524,100.829711392,7.33204402485,1.0,12.8053733468,9.21719321455,1.35905862518,7.0,-0.1401804988,0.00435561347,-0.05041099296,0.149032921946,-0.0480204238967,0.00973398460648,-0.0460755545961,0.0672582210506,0.0697581585991,0.0702992160607,7.0,3.0,none,none,none
8.55234594847,50.6695490098,65.1138275692,7.51840515677,1.0,8.26945610129,6.43503272424,1.02628151382,11.0,-0.05928113141,-0.08744628071,-0.033973345231,0.110974288632,0.0328789434933,-0.0820679095735,-0.0296379068671,0.0932446900926,0.0994085766995,0.0947119574984,5.0,3.0,none,none,none
15.5626955492,56.5399639206,90.3861999034,7.43855139874,1.0,11.4790473877,7.18057541792,1.8675234659,15.0,-0.1162495262,0.00825225891,-0.00309601826,0.116583178237,-0.0240894512967,0.0136306300465,0.00123942010385,0.0277061708187,0.0256512527952,0.0278510514758,6.0,3.0,none,none,none
5.51460824931,66.9661244162,7.94157237816,7.693704624,1.0,1.00857969203,8.50469780086,0.661752989917,24.0,-0.148497265049,-0.05127431656,-0.039549844099,0.16200210935,-0.0563371901457,-0.0458959454235,-0.0352144057351,0.0807488152923,0.0858319561729,0.0827315355115,6.0,2.0,none,none,none
17.5804183352,57.2450553269,75.895171071,7.67869626729,1.0,9.63868672602,7.27012202652,2.10965020022,26.0,-0.12027200504,-0.05227319552,-0.00759457041,0.131360266694,-0.0281119301367,-0.0468948243835,-0.00325913204615,0.0547725032445,0.0598368204837,0.0552003864994,5.0,4.0,none,none,none
16.0988652758,56.664342708,36.7169196513,7.64991500266,1.0,4.66304879571,7.19637152392,1.93186383309,29.0,-0.102539766,-0.04105594099,-0.01144123641,0.111044566695,-0.0103796910967,-0.0356775698535,-0.00710579804615,0.0378301380356,0.0438660480147,0.0388783856211,3.0,3.0,none,none,none
29.9783372752,52.3965928057,84.4242435246,7.4239345186,1.0,10.7218789276,6.65436728632,3.59740047302,31.0,-0.1108698399,-0.02000031164,-0.00202780172,0.112677619095,-0.0187097649967,-0.0146219405035,0.00230763664385,0.0238575278938,0.0274623333267,0.0238320882454,7.0,6.0,none,none,none
15.1571031965,63.1365807573,50.5524306094,7.34191049049,1.0,6.42015868739,8.01834575618,1.81885238358,40.0,-0.12894177431,0.08415484797,0.05773672049,0.164443146686,-0.0367816994067,0.0895332191065,0.0620721588539,0.114987145541,0.108482536572,0.112705898815,6.0,4.0,none,none,none
13.1078673177,70.7924656954,23.1950324407,7.61468050704,1.0,2.94576911997,8.99064314332,1.57294407812,42.0,-0.11334581581,-0.04908280166,-0.04161669261,0.130339343578,-0.0211857409067,-0.0437044305235,-0.0372812542461,0.0612274838885,0.0677488460445,0.0639598465363,5.0,4.0,none,none,none
21.0099782903,60.0534140401,114.234103305,7.64221806116,1.0,14.5077311198,7.62678358309,2.52119739483,57.0,-0.1411848493,-0.04245685857,-0.00237467172,0.147449603517,-0.0490247743967,-0.0370784874335,0.00196076664385,0.0614986775536,0.0648972450113,0.0615132652424,3.0,2.0,none,none,none
33.2010042769,54.3371210225,97.837184199,7.49565244178,1.0,12.4253223933,6.90081436986,3.98412051323,59.0,-0.1140345568,-0.02210079443,-0.01813332754,0.117563356649,-0.0218744818967,-0.0167224232935,-0.0137978891761,0.0307979568279,0.0359966059561,0.032968924258,7.0,2.0,none,none,none
