z,y,x,rad,frame
2.62571543033,28.1516506326,72.451711643,7.21929236519,0.0
3.1432824467,1.97080062728,81.8945921446,7.61087349225,0.0
0.198481947216,21.9035255842,50.4838408998,7.42492091217,0.0
2.27318873999,10.4617740091,60.5124608003,7.61569085467,0.0
5.62058189345,102.661563602,70.8911621367,7.52848322171,0.0
3.48072328892,75.3928985222,82.3924611177,7.49750832099,0.0
4.66531867175,6.32598424498,110.962791574,7.85926716223,0.0
11.3884248363,72.7875490343,101.218044481,7.31920656834,0.0
18.1799753579,3.59424914851,81.3864036417,7.87137677522,0.0
6.34227106825,113.584228816,47.730973428,7.00314598333,0.0
6.22837019753,120.28796818,95.1126968135,7.48258012647,0.0
8.32103333429,49.5990615861,63.9759070003,7.49087026299,0.0
12.3081031723,47.3870314215,99.5200695803,7.72893666293,0.0
10.0567691133,33.936996091,114.587004356,7.50127620584,0.0
11.0354374295,85.1669986312,49.8643188887,7.47622989933,0.0
14.5171236909,56.6574973571,89.0629258805,7.4354885082,0.0
25.3626754696,15.2621378707,82.8879619742,7.41692352905,0.0
11.5478101157,16.8677994609,71.0694495677,7.21061863818,0.0
9.73174689844,22.5433254661,105.253753682,7.40099184848,0.0
16.4236401695,29.5819272095,47.626286327,7.58019846613,0.0
6.51033767299,20.6699765226,30.3499751496,7.5855228855,0.0
11.7638332836,105.657589926,85.3332764194,7.39513410713,0.0
22.6797403131,41.1676866267,109.342123254,7.64685461693,0.0
16.1873938503,109.182346304,120.88783826,7.64695397191,0.0
5.2111631064,67.0306598345,6.92197407603,7.67642627779,0.0
9.76480381549,99.3782604517,33.199232552,7.59445886377,0.0
16.9142015097,57.0466581896,74.6423278663,7.67655668607,0.0
5.20001518911,105.141650084,12.7740140442,7.67147525981,0.0
11.6841147882,115.954698689,74.4416845644,7.50165218086,0.0
16.8458873607,56.8232082403,35.4093072413,7.70437319716,0.0
11.4415865184,41.8976991669,22.6275148935,7.51467576054,0.0
29.5065009396,52.8368410409,83.1897414819,7.44628954938,0.0
18.3010413963,117.068549427,106.174348234,7.69429860478,0.0
17.0589918667,21.544515372,121.671384577,7.4842633578,0.0
14.0399205648,124.045735472,23.1571835499,7.45184768179,0.0
19.1546075651,3.3951613724,56.3865311252,7.88736451022,0.0
18.7121004896,33.6978761281,33.2981051935,7.60202675441,0.0
17.5084894217,36.8209646162,61.1384706592,7.51743153625,0.0
7.3518628903,90.238973679,15.1411454174,7.4809167993,0.0
12.8478149246,121.619275777,2.40547137007,7.52642586589,0.0
15.756014354,63.2958770558,49.1181117158,7.34811114185,0.0
6.86735129702,3.13937717816,27.9940464509,7.6201438214,0.0
13.1684345757,70.9420994946,22.1864709363,7.61193323795,0.0
19.3953396545,122.849908924,62.9680061896,7.74629425857,0.0
13.9720570694,84.9319299318,36.2365278512,7.38948082655,0.0
24.3877105476,103.434685793,39.5272606628,7.61955188267,0.0
11.1894496373,49.7132432389,12.3970778045,7.43372247095,0.0
35.7674853389,31.4147594186,50.1661895887,8.53223068106,0.0
15.087582375,101.334738261,51.840574402,7.53008998116,0.0
34.7312041479,26.0978557155,117.549909942,7.29814807574,0.0
21.3891620305,94.5820744469,102.273076649,7.58893055878,0.0
33.4564000212,3.70957054713,30.765413868,7.79232072149,0.0
25.9958612415,97.9484716026,67.7091500359,7.49391056597,0.0
