z,y,x,rad,frame
2.6609135037,41.4462296219,96.1449636989,7.31842026783,0.0
4.4700500715,124.572870431,43.5930254358,10.532993677,0.0
6.3301315609,53.4233506989,115.067319234,7.42234924963,0.0
4.02757977006,52.2023028904,28.8216404635,8.45852691654,0.0
7.58416974418,85.7374504129,111.604721687,7.29478503882,0.0
3.75960688853,30.7550112601,79.8915888085,7.37150264318,0.0
15.6309774445,121.20183475,113.40085478,7.16954655717,0.0
15.0266430381,14.6344100984,38.8817242975,8.24467555319,0.0
4.35188827993,87.4460118265,97.0054550318,7.07795422498,0.0
5.76015393076,94.446413519,23.2368444976,8.96088304453,0.0
2.44617802285,27.5735633699,1.88698929642,7.49813265208,0.0
11.6757685929,92.9110290182,40.9973970062,9.12993588121,0.0
9.38239665546,63.5644430454,69.3978662249,7.42077251849,0.0
14.9428808917,100.778837649,121.217414105,7.62242930825,0.0
4.40630635185,122.181809068,67.8782891439,7.47955770067,0.0
3.6259805295,54.402918948,15.2040233826,7.56238104098,0.0
9.94048113065,17.2072589649,77.1192345691,7.39225234333,0.0
15.3123746188,7.96783743766,118.187849952,7.69231524314,0.0
4.19130449972,77.7787871071,57.7320199201,7.32905507021,0.0
4.95649200356,28.260266025,27.838590157,7.2576782158,0.0
14.9530548997,15.1224187174,103.402974755,7.44403862808,0.0
12.4247251934,10.4037321533,90.4759769758,7.77452211127,0.0
15.5873436892,79.6845713771,122.004366092,7.59541851116,0.0
11.2003003926,38.312131337,59.2533681521,7.56353016492,0.0
30.0760040421,78.9035441491,78.2142448777,8.68630747335,0.0
25.673594191,27.4439111481,115.463478845,6.80062622974,0.0
4.92981039836,57.5119411799,50.2674329741,7.3005517306,0.0
8.50392753886,92.3203270525,57.7707865658,7.40418361852,0.0
25.8825462477,13.8468033382,77.1898585796,8.48874283655,0.0
23.5369750004,34.2188601938,106.21638442,7.14406126716,0.0
3.27280168374,33.4923775342,14.7808828924,6.33759945455,0.0
35.7422939605,2.96351579872,64.1498616422,8.06521594765,0.0
14.516401504,45.1472665245,72.365571681,7.59303773961,0.0
35.0741929657,116.685008401,81.2721154581,7.05948167363,0.0
14.2076115627,61.0231393148,83.0148532812,7.57361669715,0.0
32.2942449,105.026956485,47.4228496931,7.86197201116,0.0
15.1185259728,107.597785928,89.4748971803,7.4283695043,0.0
15.6758468207,97.0070777876,100.546629952,7.55802907124,0.0
27.7218840906,115.141289656,3.17807891253,8.29723852355,0.0
14.7291688205,93.3076146057,84.8792138946,7.47175652208,0.0
11.3284934324,64.3267015617,105.181061264,7.42623308557,0.0
13.498259873,73.6520413344,86.5871775789,7.00235716481,0.0
43.0151937659,35.0616128022,95.7966135588,7.4555578191,0.0
24.7968010504,119.155997601,126.563558435,7.84787583206,0.0
31.7956193085,79.8570057951,125.769381255,7.4689285593,0.0
22.8598159431,110.27263877,76.5044139593,7.24357941609,0.0
15.2883022094,61.4164717683,8.5389036196,7.30088846281,0.0
27.3141404793,71.7404154373,100.408168539,7.66642724859,0.0
39.2370656879,26.2411541916,107.892846439,7.95899371357,0.0
28.1690811622,36.3813117987,69.733472251,7.45252428212,0.0
47.5837386708,59.7082556735,2.88665491,6.18749501199,0.0
26.8411061265,48.3163372943,97.3528807774,8.8485608484,0.0
35.992716433,64.4916431424,3.91832225891,6.83438282276,0.0
17.2194301293,1.60966679062,32.7161373369,7.50719997217,0.0
28.4808653766,95.6072713268,120.672782226,6.75118597351,0.0
40.1890513848,26.7195875216,123.154862801,7.7747163436,0.0
12.4562868596,116.242102627,22.0572024971,7.61169411665,0.0
33.334785984,76.2296134222,46.1833269049,7.65782466078,0.0
15.7997381291,68.3749281134,22.0142302834,7.87108073301,0.0
32.7371166653,38.1743219129,83.8766906122,8.29442228893,0.0
41.483549537,111.659458348,35.9184469247,6.89736429228,0.0
21.5948903744,66.1576512036,59.786402903,6.98066440744,0.0
35.2945238191,60.2813202172,117.664325297,7.00929090468,0.0
