x,y,z,mass,size,ecc,signal,raw_mass,ep,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy
309.9461191,122.8853937,7.372192045,100518,4.984400345,,119,100518,,0,39.36315713,15.60644499,0.884663045,11,-0.04605592,-0.00200293,0.007417885,0.0466924460004,-0.0483084802418,-0.00549316177679,0.00828322009389,0.0493203388543,0.0489157030996,0.0491824064829
309.5834741,122.8696225,7.434007747,97072,4.974018743,,122,97072,,1,39.31710121,15.60444206,0.89208093,11,0.04837907,-0.06959129,0.073498642,0.112185259432,0.0462566196417,-0.0596804985348,0.0758667763396,0.107038332004,0.111286445178,0.105373085472
309.9644117,122.3216596,8.04649643,104051,5.029833821,,122,104051,,2,39.36548028,15.53485077,0.965579572,11,0.00440547,0.06491654,-0.00286422,0.0651288652419,0.000760599616983,0.0659212688681,0.00286406096206,0.0659878401386,0.0649841475558,0.0659878470415
309.9991004,122.8328134,8.02262793,102263,5.014081069,,117,102263,,3,39.36988575,15.59976731,0.962715352,11,0.00627083,-0.0418964,-0.064434362,0.0771130251527,0.0104807222135,-0.0427365113495,-0.0700875835036,0.0827558112873,0.0775689427376,0.0780259056134
310.048477,122.5029205,7.485674914,97242,4.987929941,,119,97242,,4,39.37615658,15.55787091,0.89828099,11,,,,,,,,,,
455.8095107,139.4822085,6.603554759,112694,5.052439441,,122,112694,,0,57.88780786,17.71424047,0.792426571,12,,,,,,,,,,
6.760690892,140.3308363,7.089361476,56333,5.066206444,,82,56333,,0,0.858607743,17.82201621,0.850723377,13,,,,,,,,,,
314.8089566,142.3110337,6.949700929,116026,5.057540422,,126,116026,,0,39.98073749,18.07350128,0.833964111,14,,,,,,,,,,
106.6787893,145.8321759,7.129580255,94891,5.081980645,,106,94891,,0,13.54820625,18.52068633,0.855549631,15,-0.07423597,0.01345694,0.093476062,0.12012427999,-0.0764885302418,0.00996670822321,0.0943413970939,0.121861108386,0.121529250223,0.121192428387
106.0942541,145.938136,7.908547445,96017,5.081307723,,104,96017,,1,13.47397028,18.53414327,0.949025693,15,0.09469453,-0.08035921,-0.085144013,0.150579412914,0.0925720796417,-0.0704484185348,-0.0827758786604,0.142774002155,0.149253795633,0.144159885381
106.8398804,145.3053863,7.199014003,95335,5.107713746,,103,95335,,2,13.56866481,18.45378406,0.86388168,15,,,,,,,,,,
8.263105812,164.0573711,7.212017884,83875,5.043348307,,96,83875,,0,1.049414438,20.83528613,0.865442146,16,0.001539775,-0.000636310000001,0.008587878,0.00874799668551,-0.000712785241807,-0.00412654177679,0.00945321309389,0.0103392285803,0.00864086811379,0.00955447844623
8.275230024,164.0523608,7.283583535,82600,5.040474198,,93,82600,,1,1.050954213,20.83464982,0.874030024,16,,,,,,,,,,
199.9681819,186.1017391,6.701461456,106606,4.996578759,,121,106606,,0,25.3959591,23.63492087,0.804175375,17,,,,,,,,,,
130.2598134,191.1047726,6.990679884,82617,4.923667796,,105,82617,,0,16.5429963,24.27030612,0.838881586,18,-0.000735800000001,0.04372291,-0.004859953,0.0439983341011,-0.00298836024181,0.0402326782232,-0.00399461790611,0.0405407901522,0.0440935630105,0.0406351797967
130.2540197,191.4490475,6.950180277,82096,4.925876956,,106,82096,,1,16.5422605,24.31402903,0.834021633,18,,,,,,,,,,
156.7112484,232.207342,6.37070551,67965,4.912932801,,100,67965,,0,19.90232855,29.49033244,0.764484661,19,,,,,,,,,,
387.2270017,234.1641372,6.601305712,106149,5.00385818,,121,106149,,0,49.17782921,29.73884542,0.792156685,20,0.06618166,0.01003446,0.107676517,0.12678696629,0.0639290997582,0.00654422822321,0.108541852094,0.12613917066,0.125625843267,0.125395330982
387.7481171,234.2431487,7.498610016,101440,5.011185241,,121,101440,,1,49.24401087,29.74887988,0.899833202,20,-0.00306428,-0.00776554,-0.106079255,0.106407244889,-0.00518673035829,0.00214525146524,-0.10371112066,0.103862894357,0.106489502415,0.106227645258
387.7239889,234.1820027,6.614616223,106416,5.01994874,,122,106416,,2,49.24094659,29.74111434,0.793753947,20,0.00241862,0.000508960000001,0.005429254,0.00596536352476,-0.00122625038302,0.00151368886811,0.0111575349621,0.0113263202507,0.00558923333562,0.00576816634537
387.7430331,234.1860103,6.659860009,107150,5.025095212,,122,107150,,3,49.24336521,29.7416233,0.799183201,20,0.00939301,0.000265119999998,0.104473979,0.104895715897,0.0136029022135,-0.000574991349552,0.0988207574964,0.0997542564297,0.105356165104,0.105357400555
387.8169938,234.1880978,7.530476499,101931,5.000936821,,121,101931,,4,49.25275822,29.74188842,0.90365718,20,,,,,,,,,,
171.9635773,238.6989612,8.376089606,86155,4.892008883,,110,86155,,0,21.83937431,30.31476807,1.005130753,21,0.02172026,-0.01784133,0.168086832,0.170420849201,0.0194676997582,-0.0213315617768,0.168952167094,0.171402630165,0.170148427797,0.170549728682
172.1346029,238.5584783,9.776813208,88007,4.925680806,,109,88007,,1,21.86109457,30.29692674,1.173217585,21,-0.00369015,0.00076597,-0.087541928,0.0876230168108,-0.00581260035829,0.0106767614652,-0.0851737936604,0.0860369379094,0.0877380316107,0.0883819479094
172.1055466,238.5645095,9.047297144,88018,4.920890218,,110,88018,,2,21.85740442,30.29769271,1.085675657,21,-0.00648463,-0.0017806,-0.001666311,0.00692802677143,-0.010129500383,-0.000775871131888,0.00406196996206,0.0109411312941,0.010418920612,0.0102949184733
172.0544865,238.5504891,9.03341122,87306,4.906101796,,112,87306,,3,21.85091979,30.29591211,1.084009346,21,-0.00423165,0.01056494,-0.080074431,0.0808791649246,-2.17577864865e-05,0.00972482865045,-0.0857276525036,0.0862774777648,0.0807683906648,0.0806627997633
172.0211665,238.6336776,8.366124295,85796,4.897629115,,110,85796,,4,21.84668814,30.30647705,1.003934915,21,,,,,,,,,,
428.9803302,245.391925,6.925797781,110118,5.016944897,,121,110118,,0,54.48050193,31.16477448,0.831095734,22,0.00739327,0.04870586,9.6455e-05,0.0492638868056,0.00514070975819,0.0452156282232,0.000961790093888,0.0455170844038,0.0489764943491,0.0455070240293
429.0385449,245.7754358,6.926601578,112155,5.035811303,,124,112155,,1,54.4878952,31.21348034,0.831192189,22,-0.00135356000001,-0.00986651,-0.00659223,0.0119431001263,-0.0034760103583,4.42814652406e-05,-0.00422409566043,0.00547061175808,0.0123647953466,0.00745265759525
429.0278869,245.6977467,6.871666323,111701,5.036479844,,122,111701,,2,54.48654164,31.20361383,0.824599959,22,,,,,,,,,,
204.7184126,276.9948652,6.648293778,98932,4.995956194,,115,98932,,0,25.99923841,35.17834788,0.797795253,23,0.00369313,0.00453502,0.004317134,0.00726933707921,0.00144056975819,0.00104478822321,0.00518246909389,0.00547948990041,0.00642489638847,0.0046695256326
204.7474924,277.030574,6.684269889,99300,5.010637225,,116,99300,,1,26.00293154,35.1828829,0.802112387,23,,,,,,,,,,
384.9308845,280.8421433,7.17590929,116327,5.094781076,,122,116327,,0,48.88622233,35.6669522,0.861109115,24,-0.00349546,-0.06604176,0.004097255,0.0662609976007,-0.00574802024181,-0.0695319917768,0.00496259009389,0.0699454424361,0.0664179290488,0.0698893777028
384.9033612,280.3221295,7.21005308,115109,5.098822728,,118,115109,,1,48.88272687,35.60091044,0.86520637,24,0.01510657,0.06527833,0.171125682,0.183775591047,0.0129841196417,0.0751891214652,0.17349381634,0.189531252456,0.183613307716,0.187365926437
385.0223105,280.836132,8.636100437,113982,5.111084632,,118,113982,,2,48.89783344,35.66618877,1.036332052,24,-0.00314323,-0.00135475,-0.087032179,0.0870994570815,-0.00678810038302,-0.000350021131888,-0.0813038980379,0.081587527587,0.0873070090878,0.0872971992855
384.9975607,280.8254648,7.910832278,116836,5.110287819,,118,116836,,3,48.89469021,35.66483402,0.949299873,24,0.0014725,-0.0044653,-0.085862268,0.0859909078127,0.00568239221351,-0.00530541134955,-0.0915154895036,0.0918450967115,0.086165872313,0.086213491038
385.0091552,280.7903049,7.195313379,115563,5.102585465,,120,115563,,4,48.89616271,35.66036872,0.863437605,24,,,,,,,,,,
415.1980227,331.4345131,7.45138371,99226,5.066071229,,118,99226,,0,52.73014888,42.09218317,0.894166045,25,,,,,,,,,,
213.1832052,352.3072036,7.105706308,115679,5.063826404,,123,115679,,0,27.07426707,44.74301485,0.852684757,26,,,,,,,,,,
46.06477014,353.9237284,7.185709092,121028,5.204089054,,113,121028,,0,5.850225807,44.94831351,0.862285091,27,-0.098527585,0.00422559,0.114702819,0.151268890732,-0.100780145242,0.000735358223206,0.115568154094,0.153340068695,0.152745638145,0.15268894889
45.28896238,353.9570008,8.141565917,121258,5.211775485,,113,121258,,1,5.751698222,44.9525391,0.97698791,27,,,,,,,,,,
394.8868297,370.1619394,7.012446915,115852,5.097514378,,121,115852,,0,50.15062738,47.0105663,0.84149363,28,,,,,,,,,,
178.8073635,421.1407282,6.843783031,95553,5.012789103,,117,95553,,0,22.70853516,53.48487248,0.821253964,29,0.0064435,-0.41012793,0.776804604,0.87844853603,0.00419093975819,-0.413618161777,0.777669939094,0.880833742484,0.878434901252,0.880069849798
178.8580997,417.9113744,13.31715473,104665,5.052507935,,117,104665,,1,22.71497866,53.07474455,1.598058568,29,6.39599999985e-05,-0.000205260000001,0.001661046,0.00167490189662,-0.00205849035829,0.00970553146524,0.00402918033957,0.0107083620497,0.00265303374213,0.010059512781
178.8586033,417.9097582,13.33099679,103001,5.050518086,,115,103001,,2,22.71504262,53.07453929,1.599719614,29,-0.00588431,0.12828051,-0.252340973,0.283136859142,-0.00952918038302,0.129285238868,-0.246612692038,0.278609580133,0.283236052047,0.28369251827
178.8122702,418.9198409,11.22815534,96820,5.033296488,,117,96820,,3,22.70915831,53.2028198,1.347378641,29,0.00160785,0.13949782,-0.264877556,0.299369916055,0.00581774221351,0.13865770865,-0.270530777504,0.304050502169,0.299422122733,0.299031647096
178.8249304,420.018249,9.020842375,94471,5.021668705,,118,94471,,4,22.71076616,53.34231762,1.082501085,29,,,,,,,,,,
307.2940536,427.2534911,6.815242012,90946,5.009431871,,110,90946,,0,39.02634481,54.26119337,0.817829041,30,0.07882622,-0.00352697,0.101915954,0.128890939001,0.0765736597582,-0.00701720177679,0.102781289094,0.128361831856,0.127525787847,0.127669997138
307.9147325,427.2257197,7.664541621,90351,4.987009278,,110,90351,,1,39.10517103,54.2576664,0.919744995,30,,,,,,,,,,
139.034622,433.9946546,7.252067362,109439,5.184417793,,110,109439,,0,17.657397,55.11732113,0.870248083,31,-0.00992518,0.00129902,0.105039556,0.105515425297,-0.0121777402418,-0.00219121177679,0.105904891094,0.106625253688,0.105751090467,0.105765812487
138.956471,434.0048831,8.127396992,112224,5.199413091,,110,112224,,1,17.64747182,55.11862015,0.975287639,31,0.01349615,-0.00526601,-0.105428981,0.106419673749,0.0113736996417,0.00464478146524,-0.10306084666,0.103790525352,0.10617138004,0.106142381135
139.0627399,433.9634184,7.248822149,109946,5.195309534,,106,109946,,2,17.66096797,55.11335414,0.869858658,31,,,,,,,,,,
372.0444966,450.7467048,6.819717856,99311,5.015194763,,116,99311,,0,47.24965107,57.24483151,0.818366143,32,0.00982479,-0.00135817,0.080001532,0.0806139953522,0.00757222975819,-0.00484840177679,0.0808668670939,0.0813652005275,0.0803705693124,0.0805052221017
372.1218571,450.7360106,7.486397294,96966,5.012518619,,115,96966,,1,47.25947586,57.24347334,0.898367675,32,,,,,,,,,,
149.5174579,454.232195,6.557367538,96518,5.098331665,,111,96518,,0,18.98871715,57.68748877,0.786884105,33,0.0051435,0.07311612,-0.015399376,0.0748970184807,0.00289093975819,0.0696258882232,-0.0145340409061,0.0711853930847,0.0747761012472,0.0713670976343
149.5579579,454.8079125,6.429039411,99210,5.111029122,,109,99210,,1,18.99386065,57.76060489,0.771484729,33,,,,,,,,,,
44.88979576,466.3517049,6.223108072,79271,5.015670968,,100,79271,,0,5.701004062,59.22666652,0.746772969,34,,,,,,,,,,
109.5344118,468.2646861,7.27186511,90681,5.016440588,,109,90681,,0,13.9108703,59.46961513,0.872623813,35,0.00544453,0.000114959999998,-0.000314372,0.00545481003124,0.00319196975819,-0.0033752717768,0.000550963093888,0.00467810761262,0.00320947293075,0.00465617442315
109.5772821,468.2655912,7.269245338,89762,5.011368284,,107,89762,,1,13.91631483,59.46973009,0.872309441,35,0.0734502,-0.0276262,0.092372995,0.121206060128,0.0713277496417,-0.0177154085348,0.0947411293396,0.119905651064,0.119931751428,0.118043440198
110.1556301,468.0480621,8.039020297,95335,5.026202909,,107,95335,,2,13.98976503,59.44210389,0.964682436,35,4.72600000005e-05,-0.01362073,0.089083469,0.0901187603572,-0.00359761038302,-0.0126160011319,0.0948117499621,0.0957150678624,0.0901905290775,0.0900442709677
110.1560023,467.9408123,8.781382546,93364,5.005305441,,109,93364,,3,13.98981229,59.42848316,1.053765905,35,0.00270604,0.00405938,-0.000137162,0.0048805770028,0.00691593221351,0.00321926865045,-0.0057903835036,0.00957717861087,0.00802044249282,0.00762971968292
110.1773097,467.9727759,8.780239521,93520,5.018108781,,110,93520,,4,13.99251833,59.43254254,1.053628743,35,,,,,,,,,,
483.2012142,53.5246905,8.067197048,100808,5.088730389,,111,100808,,0,61.3665542,6.797635694,0.968063646,36,-0.00254929,-0.084856847,-0.085099171,0.120204210688,-0.00480185024181,-0.0883470787768,-0.0842338359061,0.122162200396,0.120273069111,0.122760470018
483.181141,52.85652635,7.358037293,98945,5.073026768,,114,98945,,1,61.36400491,6.712778847,0.882964475,36,0.0147418,-0.002098149,0.082971837,0.0842973821161,0.0126193496417,0.00781264246524,0.0853399713396,0.0866209909659,0.0839522242097,0.0842888551519
483.2972182,52.8400055,8.049469271,101841,5.083547038,,114,101841,,2,61.37874671,6.710680698,0.965936312,36,0.08953962,0.000782407000001,0.177014508,0.198373616575,0.085894749617,0.00178713586811,0.182742788962,0.201930752447,0.196755320678,0.196761881239
484.0022546,52.84616618,9.524590164,99796,5.07849425,,112,99796,,3,61.46828633,6.711463105,1.14295082,36,-0.02487998,-0.011729134,-0.173935327,0.176096802832,-0.0206700877865,-0.0125692453495,-0.179588548504,0.181210610096,0.17555148274,0.175609613736
483.8063492,52.75381079,8.07512911,103981,5.076850471,,113,103981,,4,61.44340635,6.699733971,0.969015493,36,,,,,,,,,,
69.13242559,63.43751185,8.120091889,89673,5.070067638,,97,89673,,0,8.77981805,8.056564005,0.974411027,37,,,,,,,,,,
391.7646113,73.38978565,8.324711082,84626,4.926665428,,111,84626,,0,49.75410564,9.320502777,0.99896533,38,0.00979845,-0.008868132,0.06085651,0.0622749403609,0.00754588975819,-0.0123583637768,0.0617218450939,0.0633976006587,0.0619604634165,0.0625554507366
391.8417645,73.31995783,8.831848668,86327,4.941401381,,113,86327,,1,49.76390409,9.311634645,1.05982184,38,-0.01620099,0.070880292,-0.074543041,0.104130460637,-0.0183234403583,0.0807910834652,-0.0721749066604,0.109873403449,0.104481717167,0.111443315616
391.7141977,73.87807037,8.210656656,89240,4.990947655,,108,89240,,2,49.7477031,9.382514937,0.985278799,38,0.00542287,-0.001875217,0.06660416,0.0668508645205,0.00177799961698,-0.000870488131888,0.0723324409621,0.0723595263096,0.0666542710615,0.0666335738313
391.7568974,73.86330489,8.765691321,88584,4.993963664,,105,88584,,3,49.75312597,9.38063972,1.051882959,38,-0.03401246,-0.051119113,-0.059274339,0.0853431802375,-0.0298025677865,-0.0519592243495,-0.0649275605036,0.0883376598888,0.0837544268947,0.0842698125402
391.4890828,73.46079218,8.271738498,85965,4.938434439,,114,85965,,4,49.71911351,9.329520607,0.99260862,38,,,,,,,,,,
189.8865358,107.0485122,7.756735569,86741,4.932933499,,109,86741,,0,24.11559004,13.59516105,0.930808268,39,,,,,,,,,,
