z,y,x,rad,frame,xum,yum,zum,particle
2.6609135037,41.4462296219,96.1449636989,7.31842026783,0.0,12.2104103898,5.26367116198,0.319309620444,0.0
2.68744264246,41.6224983091,96.1644575099,7.31691005988,1.0,12.2128861038,5.28605728525,0.322493117095,0.0
2.75806967472,41.4706107792,96.2219134806,7.27604045277,2.0,12.220183012,5.26676756896,0.330968360966,0.0
2.74057609415,41.4283538289,96.2431002165,7.29139060496,3.0,12.2228737275,5.26140093627,0.328869131299,0.0
4.4700500715,124.572870431,43.5930254358,10.532993677,0.0,5.53631423034,15.8207545448,0.53640600858,1.0
4.40528195121,124.764116997,43.5141485524,10.7178917314,1.0,5.52629686615,15.8450428586,0.528633834145,1.0
4.36523269259,124.918532853,43.4368545889,10.8375245783,2.0,5.51648053279,15.8646536723,0.523827923111,1.0
4.50003881035,124.705131207,43.6772359691,10.610512102,3.0,5.54700896807,15.8375516633,0.540004657242,1.0
6.3301315609,53.4233506989,115.067319234,7.42234924963,0.0,14.6135495428,6.78476553876,0.759615787308,2.0
6.30280755901,53.3748614086,115.133046804,7.43362780777,1.0,14.6218969441,6.77860739889,0.756336907081,2.0
6.31783111982,53.4222384157,115.1166352,7.41127245226,2.0,14.6198126704,6.78462427879,0.758139734379,2.0
6.34581277293,53.4179424951,115.166000804,7.4500663496,3.0,14.6260821021,6.78407869688,0.761497532751,2.0
4.02757977006,52.2023028904,28.8216404635,8.45852691654,0.0,3.66034833886,6.62969246708,0.483309572407,3.0
3.79640296336,52.1228566178,28.893798304,8.45414764653,1.0,3.66951238461,6.61960279046,0.455568355604,3.0
3.78553535206,52.1644260506,28.9686125992,8.43107761246,2.0,3.6790138001,6.62488210842,0.454264242248,3.0
3.94658525922,52.2482981661,28.9674506026,8.40974034532,3.0,3.67886622653,6.63553386709,0.473590231107,3.0
7.58416974418,85.7374504129,111.604721687,7.29478503882,0.0,14.1737996542,10.8886562024,0.910100369301,4.0
7.56496131576,85.8180396147,111.581680026,7.31755599099,1.0,14.1708733633,10.8988910311,0.907795357891,4.0
7.54467202447,85.8577875027,111.685093139,7.28747263282,2.0,14.1840068287,10.9039390128,0.905360642937,4.0
7.52724092576,85.8218073052,111.643066417,7.28694661441,3.0,14.178669435,10.8993695278,0.903268911092,4.0
3.75960688853,30.7550112601,79.8915888085,7.37150264318,0.0,10.1462317787,3.90588643003,0.451152826624,5.0
3.77874061678,30.7666438837,79.9022140908,7.3535868371,1.0,10.1475811895,3.90736377322,0.453448874014,5.0
3.89679081598,30.7076143809,79.9625537089,7.34237309072,2.0,10.155244321,3.89986702638,0.467614897917,5.0
3.78512877272,30.6514927073,79.9910777948,7.37599326365,3.0,10.1588668799,3.89273957383,0.454215452726,5.0
15.6309774445,121.20183475,113.40085478,7.16954655717,0.0,14.4019085571,15.3926330132,1.87571729334,6.0
15.7859214606,121.125270494,113.354245842,7.16183467451,1.0,14.3959892219,15.3829093527,1.89431057528,6.0
16.1522227204,120.989030756,113.339666232,7.17172064142,2.0,14.3941376114,15.365606906,1.93826672645,6.0
16.0382864989,120.887404322,113.43688571,7.11335046076,3.0,14.4064844852,15.3527003489,1.92459437986,6.0
15.0266430381,14.6344100984,38.8817242975,8.24467555319,0.0,4.93797898579,1.85857008249,1.80319716458,7.0
15.013227528,14.7109741753,39.046483357,8.21331495619,1.0,4.95890338634,1.86829372026,1.80158730336,7.0
15.1594325073,14.6830541707,39.1063061641,8.18850376449,2.0,4.96650088284,1.86474787968,1.81913190087,7.0
14.9693330888,14.6110935268,39.0410152755,8.24515549915,3.0,4.95820893999,1.8556088779,1.79631997066,7.0
4.35188827993,87.4460118265,97.0054550318,7.07795422498,0.0,12.319692789,11.105643502,0.522226593592,8.0
4.37864084576,87.5008482023,97.0529951885,7.10212595529,1.0,12.3257303889,11.1126077217,0.525436901491,8.0
4.42386452428,87.5598246497,97.0613987668,7.05897313614,2.0,12.3267976434,11.1200977305,0.530863742913,8.0
4.39660321144,87.4374069985,97.0855888412,7.0560777972,3.0,12.3298697828,11.1045506888,0.527592385373,8.0
5.76015393076,94.446413519,23.2368444976,8.96088304453,0.0,2.95107925119,11.9946945169,0.691218471692,9.0
5.74597341616,94.5709468402,23.3617477483,8.95269338755,1.0,2.96694196404,12.0105102487,0.689516809939,9.0
5.85235797922,94.3676854816,23.3261074995,8.76670396521,2.0,2.96241565244,11.9846960562,0.702282957507,9.0
5.89083632741,94.46205967,23.3122659104,8.94965724502,3.0,2.96065777062,11.9966815781,0.706900359289,9.0
2.44617802285,27.5735633699,1.88698929642,7.49813265208,0.0,0.239647640645,3.50184254797,0.293541362742,10.0
2.52885035147,27.57508751,1.96581860028,7.44429585686,1.0,0.249658962236,3.50203611377,0.303462042176,10.0
2.3864775944,27.5752351524,1.86561407069,7.50202967693,2.0,0.236932986978,3.50205486435,0.286377311328,10.0
2.35844374023,27.5029035498,1.88395767913,7.49308278708,3.0,0.239262625249,3.49286875083,0.283013248827,10.0
11.6757685929,92.9110290182,40.9973970062,9.12993588121,0.0,5.20666941978,11.7997006853,1.40109223115,11.0
11.6502390555,92.9833979809,41.0070000907,9.12245467694,1.0,5.20788901152,11.8088915436,1.39802868666,11.0
11.622908858,93.0593986759,41.0528192279,9.06519451764,2.0,5.21370804194,11.8185436318,1.39474906296,11.0
11.4900565288,92.9598633343,41.083780067,9.1189110925,3.0,5.21764006851,11.8059026435,1.37880678346,11.0
9.38239665546,63.5644430454,69.3978662249,7.42077251849,0.0,8.81352901056,8.07268426677,1.12588759865,12.0
9.37564077609,63.623546984,69.4353424874,7.39818386407,1.0,8.8182884959,8.08019046697,1.12507689313,12.0
9.32821236065,63.6837000189,69.4427423863,7.33527336549,2.0,8.81922828306,8.0878299024,1.11938548328,12.0
9.26864133307,63.6358834866,69.3978671355,7.41838004052,3.0,8.8135291262,8.0817572028,1.11223695997,12.0
14.9428808917,100.778837649,121.217414105,7.62242930825,0.0,15.3946115913,12.7989123815,1.793145707,13.0
14.8348380923,100.732767739,121.288174979,7.57327089407,1.0,15.4035982224,12.7930615028,1.78018057107,13.0
14.8467130201,100.750582288,121.384302759,7.59761775442,2.0,15.4158064503,12.7953239506,1.78160556242,13.0
14.7698184379,100.712658036,121.448604225,7.61302513559,3.0,15.4239727365,12.7905075706,1.77237821255,13.0
4.40630635185,122.181809068,67.8782891439,7.47955770067,0.0,8.62054272128,15.5170897516,0.528756762222,14.0
4.43478427269,122.077870112,67.9706870657,7.48624402878,1.0,8.63227725735,15.5038895042,0.532174112723,14.0
4.42113443568,122.177811562,67.977613586,7.52290315007,2.0,8.63315692542,15.5165820684,0.530536132282,14.0
4.59768370833,122.036135421,67.9166180786,7.52083269395,3.0,8.62541049598,15.4985891984,0.551722045,14.0
3.6259805295,54.402918948,15.2040233826,7.56238104098,0.0,1.93091096959,6.90917070639,0.43511766354,15.0
3.55108943955,54.4470749354,15.3028098372,7.62158463594,1.0,1.94345684933,6.9147785168,0.426130732745,15.0
3.30728743887,54.4826925026,15.3338477872,7.62284273346,2.0,1.94739866897,6.91930194783,0.396874492665,15.0
3.48877321404,54.3407423167,15.2787737715,7.61233910507,3.0,1.94040426898,6.90127427422,0.418652785685,15.0
9.94048113065,17.2072589649,77.1192345691,7.39225234333,0.0,9.79414279028,2.18532188854,1.19285773568,16.0
9.91793892681,17.2034281881,77.1913563329,7.39477593051,1.0,9.80330225428,2.18483537988,1.19015267122,16.0
9.94492784433,17.2592482364,77.1879097944,7.32898597444,2.0,9.80286454389,2.19192452602,1.19339134132,16.0
9.89399023035,17.1756970198,77.1861140473,7.40322920801,3.0,9.80263648401,2.18131352151,1.18727882764,16.0
15.3123746188,7.96783743766,118.187849952,7.69231524314,0.0,15.0098569439,1.01191535458,1.83748495426,17.0
15.2902483601,8.02081852524,118.282278614,7.70947605503,1.0,15.0218493839,1.01864395271,1.83482980321,17.0
15.4564317925,8.03188987277,118.477212355,7.71454327807,2.0,15.0466059691,1.02005001384,1.8547718151,17.0
15.2521128146,7.92953958498,118.410985882,7.72605958981,3.0,15.038195207,1.00705152729,1.83025353775,17.0
4.19130449972,77.7787871071,57.7320199201,7.32905507021,0.0,7.33196652985,9.87790596261,0.502956539967,18.0
4.16301710912,77.8043006598,57.6959036497,7.34816550043,1.0,7.32737976351,9.88114618379,0.499562053094,18.0
4.03515274729,77.8122260855,57.7325639044,7.32508401271,2.0,7.33203561585,9.88215271286,0.484218329675,18.0
3.96652588219,77.662023768,57.7509297231,7.37848190617,3.0,7.33436807484,9.86307701854,0.475983105863,18.0
4.95649200356,28.260266025,27.838590157,7.2576782158,0.0,3.53550094994,3.58905378518,0.594779040427,19.0
5.09743508303,28.3338506326,27.8977124482,7.24110905828,1.0,3.54300948092,3.59839903034,0.611692209964,19.0
4.9608364474,28.2681912059,27.9330877396,7.19870566488,2.0,3.54750214293,3.59006028314,0.595300373688,19.0
4.88395735793,28.2436741734,27.8939903463,7.2340252239,3.0,3.54253677398,3.58694662002,0.586074882952,19.0
14.9530548997,15.1224187174,103.402974755,7.44403862808,0.0,13.1321777938,1.92054717712,1.79436658796,20.0
14.8613647105,15.1045241181,103.474512933,7.4573762944,1.0,13.1412631425,1.918274563,1.78336376527,20.0
15.0066095742,15.1568693438,103.489090092,7.42760396752,2.0,13.1431144417,1.92492240666,1.80079314891,20.0
14.9191911211,15.01648172,103.447479679,7.43567449232,3.0,13.1378299192,1.90709317844,1.79030293453,20.0
12.4247251934,10.4037321533,90.4759769758,7.77452211127,0.0,11.4904490759,1.32127398347,1.49096702321,21.0
12.341190854,10.4487675044,90.5066164987,7.76864249818,1.0,11.4943402953,1.32699347306,1.48094290248,21.0
12.4681688849,10.4464417499,90.4933698775,7.75448392268,2.0,11.4926579744,1.32669810224,1.49618026619,21.0
12.3975161004,10.3736470643,90.485657541,7.77982915941,3.0,11.4916785077,1.31745317717,1.48770193205,21.0
15.5873436892,79.6845713771,122.004366092,7.59541851116,0.0,15.4945544937,10.1199405649,1.8704812427,22.0
15.4618401445,79.7499440504,122.078505791,7.60904072441,1.0,15.5039702355,10.1282428944,1.85542081734,22.0
15.6289572668,79.7840270249,122.152727601,7.60989514362,2.0,15.5133964054,10.1325714322,1.87547487201,22.0
15.5551476268,79.7497571791,122.061982614,7.63892465268,3.0,15.5018717919,10.1282191617,1.86661771522,22.0
11.2003003926,38.312131337,59.2533681521,7.56353016492,0.0,7.52517775532,4.8656406798,1.34403604711,23.0
11.0849794757,38.3119310205,59.4036178166,7.58618117229,1.0,7.5442594627,4.86561523961,1.33019753708,23.0
11.2772108384,38.3817923467,59.3292507211,7.52761673034,2.0,7.53481484157,4.87448762803,1.35326530061,23.0
11.0352768673,38.2680063075,59.294890041,7.57120484571,3.0,7.53045103521,4.86003680106,1.32423322408,23.0
30.0760040421,78.9035441491,78.2142448777,8.68630747335,0.0,9.93320909947,10.0207501069,3.60912048506,24.0
30.2202491256,78.9564400516,78.2548190338,8.70425826798,1.0,9.93836201729,10.0274678866,3.62642989508,24.0
29.9606668369,78.9362443331,78.3136917966,8.6832436213,2.0,9.94583885817,10.0249030303,3.59528002043,24.0
30.0885635003,78.8481132826,78.2776644589,8.70538005767,3.0,9.94126338629,10.0137103869,3.61062762004,24.0
25.673594191,27.4439111481,115.463478845,6.80062622974,0.0,14.6638618134,3.48537671581,3.08083130292,25.0
25.828712551,27.585286659,115.365091419,6.87356933544,1.0,14.6513666102,3.5033314057,3.09944550612,25.0
25.8962433117,27.4451244657,115.552351656,6.87496520453,2.0,14.6751486603,3.48553080714,3.1075491974,25.0
