z,y,x,rad,frame
15.7648302425,108.104591149,115.263891249,9.53257164421,0.0
11.4844335191,89.1031410721,97.0047444533,7.35778921148,0.0
18.2610228601,121.982867135,2.33765260367,7.62411585064,0.0
3.72565666199,6.87385355059,117.397567615,7.81738859366,0.0
11.7707390514,65.5452677945,95.6128665082,7.5489123044,0.0
29.5256675209,18.1897363213,95.8866903856,7.25938492918,0.0
4.15371828262,118.240489308,71.2064584379,7.53008662366,0.0
29.206000065,24.0561751494,120.390462876,7.39997917727,0.0
7.66390207463,75.7199370447,31.8476936166,7.52928599662,0.0
15.4391776525,75.1207124011,70.6677590205,7.4286529804,0.0
15.7502900024,18.1677193656,72.7748271424,7.31292189898,0.0
22.2406618289,58.5896828029,104.48147389,7.42155543958,0.0
15.2546184291,40.7880776367,97.9390976389,7.42595363576,0.0
19.1263960171,74.514333139,122.579687913,7.35115635585,0.0
13.8285893629,74.5930078891,85.492471553,7.43239707829,0.0
16.5594024377,95.0803018108,21.9843548823,7.67771363805,0.0
11.2704277816,10.0578459928,102.824178335,7.39610801013,0.0
44.0689134895,36.2179527677,116.677768516,7.58030544822,0.0
9.37640953152,40.0437224339,20.146685568,9.47003038179,0.0
9.8773159373,49.9976529952,108.696998453,7.38238922625,0.0
39.8000712304,20.8114346488,111.68659037,7.46043523785,0.0
15.9802167651,37.8267599287,115.761251779,7.29795267073,0.0
12.0228135767,84.6000619908,59.0883664642,7.49330044603,0.0
19.5703907689,115.315611115,66.0282599016,7.4002050624,0.0
1.87772587476,39.4796487081,89.425841802,7.46420909266,0.0
16.028066489,58.0331688685,26.9463869725,7.63366493544,0.0
17.6757945256,55.8068175032,2.43377174516,7.73565930368,0.0
13.5922708554,105.520907818,61.8025936565,7.32158152282,0.0
10.6832394221,71.7069744112,4.1217238664,7.69341812674,0.0
28.371580299,127.164060984,70.4483938512,7.74581274563,0.0
3.42915257504,105.297714653,87.9438832831,7.63423040856,0.0
30.8326717147,18.2666232382,72.9965066573,7.37603001294,0.0
15.0427554235,116.942997714,51.3103613004,7.63375499145,0.0
33.8130687789,55.7913700825,39.2947813982,4.56972471735,0.0
3.78339761838,103.927592838,46.3582928962,7.38332879985,0.0
30.2221611055,49.6128693925,45.6126345148,8.00629887882,0.0
35.7372013756,8.12924634067,83.9016955678,7.79353027812,0.0
8.34154896756,48.0619616098,35.3673463108,7.54326199844,0.0
17.5612435871,111.386179075,97.6028043599,7.5006896045,0.0
20.1925276406,108.686561115,39.6411312705,7.23093044652,0.0
32.2411382763,115.539990899,45.5861576983,8.87371481859,0.0
12.6932898789,3.57006438767,81.7717512779,7.33560387982,0.0
10.7195234118,4.03845273555,48.8188443652,7.54926815291,0.0
5.59358710141,52.2867389026,77.6505172562,7.47711644762,0.0
15.8781328257,109.62373079,79.3933956983,7.00112713951,0.0
19.5227678974,59.661727467,52.5316103037,7.70148260103,0.0
1.76250995051,121.104608401,33.8363210089,7.51138997635,0.0
26.489855994,27.8699361854,21.7349029719,7.5908953084,0.0
14.86516127,42.4551451164,71.7007034767,7.37172941318,0.0
20.0159091211,83.617804247,4.24691901429,8.11889802071,0.0
4.87905855906,69.3094207787,60.9001316217,7.46244184611,0.0
7.49689380197,24.784666289,100.000037345,7.46683285895,0.0
9.71644718484,65.1134698651,15.1920216525,7.17629855414,0.0
4.64581301281,105.976063261,32.9410940567,7.1850781699,0.0
4.48063484834,31.39458789,68.4944534269,7.60605329794,0.0
31.6004585342,94.5990134775,10.266156364,7.50066049052,0.0
11.4302295539,46.5756265234,56.1325740889,7.63609969737,0.0
22.738281185,29.3405765404,72.1421458167,7.30350190584,0.0
13.8393344829,18.1784068825,44.8143298363,7.43298703618,0.0
27.9253660609,70.2912240654,78.6981920232,7.30220786838,0.0
13.7840572392,26.1912013147,112.537206246,6.98442362417,0.0
28.2089066219,12.0829938468,42.688963914,7.44948434286,0.0
27.0263576894,120.085576279,23.2390380276,7.59561255524,0.0
33.1360770557,99.6191235686,119.086836301,7.63744667502,0.0
23.1203623702,78.1890454964,108.453711188,7.49098084877,0.0
22.7497889841,1.52872866193,27.9992192484,7.44076618023,0.0
31.7312698151,72.3138283607,91.7909558455,7.3165261259,0.0
12.9559896726,123.615667816,83.9380013343,7.33584376479,0.0
21.0834045813,93.3501762922,108.649463669,7.46797544571,0.0
40.1972514653,17.6739515334,47.1774633023,7.59606483585,0.0
30.4855635499,43.834842251,118.634777387,7.32791587277,0.0
8.93903759688,31.7348697509,52.6623081529,7.45150639751,0.0
35.7887113643,3.05616545894,13.0606668966,9.12300472885,0.0
19.2828300684,123.597121579,35.7274971203,7.58242969624,0.0
47.0736804159,62.852963615,123.01902545,7.47802465382,0.0
41.6817823523,26.7667679706,26.2822525025,7.37416287182,0.0
24.1677388914,76.1604347003,54.0124148401,7.71111506451,0.0
38.8439691402,34.3458785367,2.00314623546,7.3082933064,0.0
13.4275659055,16.2260570469,89.7181943747,6.94229675799,0.0
34.1761214605,94.0966929123,61.687010509,7.79687622639,0.0
10.3993441322,30.0827265788,83.5328060623,7.29436421504,0.0
43.2911078328,101.100448558,51.5401359657,7.71229646678,0.0
26.5535325504,83.3417572086,22.8046812676,7.57714556485,0.0
42.3152573025,102.177084889,86.2535885264,7.45059890352,0.0
41.0689177131,118.895262438,73.7969962047,7.46585577943,0.0
9.79536010413,80.9019175635,45.9051773289,7.33026846087,0.0
32.5984963834,24.8203633823,84.7726315089,7.26125539238,0.0
7.65292100916,90.7422658153,34.2298517331,7.3018031529,0.0
30.263644916,26.7074337769,36.550169817,7.31665179668,0.0
40.6734036719,110.997972384,32.6589828704,8.14074018174,0.0
38.0030150008,61.1593174531,71.5751213838,7.20413169359,0.0
