centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,36,4,54,35,-180,0,-180,-180,0.047207817024360964,0.033707865168539325,0.05056179775280899,0.03277153558052434
-162,9,-162,-162,50,4,37,56,-168,6,-168,-168,0.0157936184042082,0.04681647940074907,0.03464419475655431,0.052434456928838954
-150,15,-150,-150,39,10,29,34,-156,12,-156,-156,0.023864803352601036,0.03651685393258427,0.027153558052434457,0.031835205992509365
-138,21,-138,-138,15,8,21,24,-144,18,-144,-144,0.013788433085306053,0.014044943820224719,0.019662921348314606,0.02247191011235955
-126,27,-126,-126,40,34,40,34,-132,24,-132,-132,0.04625793514181198,0.03745318352059925,0.03745318352059925,0.031835205992509365
-114,33,-114,-114,43,28,39,29,-120,30,-120,-120,0.031754359513188044,0.040262172284644196,0.03651685393258427,0.027153558052434457
-102,39,-102,-102,34,46,25,35,-108,36,-108,-108,0.045148166552951015,0.031835205992509365,0.023408239700374533,0.03277153558052434
-90,45,-90,-90,33,34,34,38,-96,42,-96,-96,0.029699422563464868,0.03089887640449438,0.031835205992509365,0.035580524344569285
-78,51,-78,-78,30,55,20,20,-84,48,-84,-84,0.043713359611814634,0.028089887640449437,0.018726591760299626,0.018726591760299626
-66,57,-66,-66,27,54,37,33,-72,54,-72,-72,0.03977007849961957,0.025280898876404494,0.03464419475655431,0.03089887640449438
-54,63,-54,-54,34,26,31,19,-60,60,-60,-60,0.01802380809091803,0.031835205992509365,0.02902621722846442,0.017790262172284643
-42,69,-42,-42,42,75,35,56,-48,66,-48,-48,0.04962078338382571,0.03932584269662921,0.03277153558052434,0.052434456928838954
-30,75,-30,-30,35,53,43,36,-36,72,-36,-36,0.03389114036504208,0.03277153558052434,0.040262172284644196,0.033707865168539325
-18,81,-18,-18,29,76,41,35,-24,78,-24,-24,0.04752780482134642,0.027153558052434457,0.03838951310861423,0.03277153558052434
-6,87,-6,-6,42,45,30,32,-12,84,-12,-12,0.027833139619277674,0.03932584269662921,0.028089887640449437,0.0299625468164794
6,93,6,6,29,44,44,40,0,90,0,0,0.02721462540551595,0.027153558052434457,0.04119850187265917,0.03745318352059925
18,99,18,18,45,77,35,49,12,96,12,12,0.04815317067425888,0.042134831460674156,0.03277153558052434,0.04588014981273408
30,105,30,30,41,57,36,46,24,102,24,24,0.03644896227938488,0.03838951310861423,0.033707865168539325,0.04307116104868914
42,111,42,42,28,71,31,17,36,108,36,36,0.04697434160335501,0.026217228464419477,0.02902621722846442,0.015917602996254682
54,117,54,54,43,36,59,37,48,114,48,48,0.024956041972040346,0.040262172284644196,0.0552434456928839,0.03464419475655431
66,123,66,66,46,51,29,48,60,120,60,60,0.03756062969408514,0.04307116104868914,0.027153558052434457,0.0449438202247191
78,129,78,78,38,47,35,28,72,126,72,72,0.03735505275918704,0.035580524344569285,0.03277153558052434,0.026217228464419477
90,135,90,90,30,15,28,42,84,132,84,84,0.013102686425058026,0.028089887640449437,0.026217228464419477,0.03932584269662921
102,141,102,102,32,41,32,35,96,138,96,96,0.04024075714502154,0.0299625468164794,0.0299625468164794,0.03277153558052434
114,147,114,114,28,17,36,30,108,144,108,108,0.019279432561578463,0.026217228464419477,0.033707865168539325,0.028089887640449437
126,153,126,126,32,22,34,39,120,150,120,120,0.029931605091760686,0.0299625468164794,0.031835205992509365,0.03651685393258427
138,159,138,138,43,17,41,47,132,156,132,132,0.029300420306275367,0.040262172284644196,0.03838951310861423,0.04400749063670412
150,165,150,150,41,12,29,37,144,162,144,144,0.028637764023121213,0.03838951310861423,0.027153558052434457,0.03464419475655431
162,171,162,162,21,5,46,24,156,168,156,156,0.019742023005260234,0.019662921348314606,0.04307116104868914,0.02247191011235955
174,177,174,174,42,4,37,33,168,174,168,168,0.04720781702436099,0.03932584269662921,0.03464419475655431,0.03089887640449438
