z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um,rad_um,neighbors,contacts_0pt1um,contacts_0pt5um,contacts_0pt03um,contacts_0pt05um,contacts_30nm,contacts_50nm,contacts_100nm
10.4105860817,68.7815122508,97.0788666146,7.56634226159,2.0,12.3290160601,8.73525205585,1.2492703298,2.0,-0.0185090505,0.00732203945,-0.00398647877,0.0202999809138,-0.0588609252746,0.0174313630386,0.0171289311221,0.0637327327434,0.0594484045107,0.0615170948155,4.0,2.0,0.960925467222,"[4, 184]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
10.3773654252,68.8391661047,96.93312606,7.54390170033,3.0,12.3105070096,8.7425740953,1.24528385103,2.0,,,,,,,,,,,4.0,2.0,0.958075515942,"[4, 184]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
23.375443011,6.24558349556,109.78965608,7.68401275363,0.0,13.9432863222,0.793189103936,2.80505316132,3.0,-0.0085883565,0.022003194286,-0.00625858401,0.0244350219965,0.0249051497782,0.00452692793638,-0.00655817567188,0.0261489814364,0.0338168141325,0.0260754565794,3.0,3.0,0.975869619711,"[29, 251]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
23.3232881443,6.41883699387,109.722031226,7.69326116486,1.0,13.9346979657,0.815192298222,2.79879457731,3.0,0.0176193011,-0.014569564542,-0.02458651078,0.0335739258135,0.0178226662902,0.00617646831379,-0.0231892558173,0.0298921022995,0.0336810949491,0.0309885899463,3.0,3.0,0.977044167937,"[29, 251]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
23.1184005544,6.30411601323,109.860765881,7.72221215568,2.0,13.9523172668,0.80062273368,2.77420806653,3.0,0.0859815619,-0.045646134829,-0.03037035864,0.10197429723,0.0456296871254,-0.0355368112404,-0.00925494874785,0.0585712162809,0.0713301945596,0.0653245128893,3.0,3.0,0.980720943771,"[29, 251]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
22.8653142325,5.94469762875,110.537786053,7.70982294128,3.0,14.0382988287,0.754976598851,2.74383770789,3.0,,,,,,,,,,,3.0,3.0,0.979147513543,"[29, 251]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
11.2949727019,78.3110693529,87.01523297,7.4351338476,0.0,11.0509345872,9.94550580781,1.35539672423,4.0,-0.0257195248,-0.04173012239,-0.04080856177,0.0637827232435,0.00777398147819,-0.0592063887396,-0.0411081534319,0.0724962863476,0.0588827361494,0.0723268274525,5.0,4.0,0.944261998645,"[2, 7, 19, 33]",4.0,3.0,3.0,3.0,3.0,3.0,4.0
10.9549013538,77.982485712,86.8127170271,7.46355300898,1.0,11.0252150624,9.90377568542,1.31458816246,4.0,-0.0210365438,-0.02377723888,0.02858677963,0.0427211567425,-0.0208331786098,-0.00303120602421,0.0299840345927,0.0366367557434,0.0426213841793,0.035502302891,5.0,4.0,0.94787123214,"[2, 7, 19, 33]",4.0,3.0,3.0,3.0,3.0,3.0,4.0
11.1931245174,77.7952633586,86.6470749499,7.43554332045,2.0,11.0041785186,9.87999844654,1.34317494209,4.0,-0.0207396954,0.01824222875,-0.02414688581,0.0366876814391,-0.0610915701746,0.0283515523386,-0.00303147591785,0.0674179524507,0.0681764691846,0.071547624424,5.0,4.0,0.944314001697,"[2, 7, 19, 33]",4.0,3.0,3.0,3.0,3.0,3.0,4.0
10.991900469,77.938902955,86.4837702618,7.43900197683,3.0,10.9834388232,9.89824067529,1.31902805628,4.0,,,,,,,,,,,5.0,4.0,0.944753251057,"[2, 7, 19, 33]",4.0,3.0,3.0,3.0,3.0,3.0,4.0
1.29378394983,1.12326142999,94.9780677917,7.29573528816,0.0,12.0622146095,0.142654201609,0.155254073979,5.0,-0.0529277025,0.013003797307,0.031995572466,0.0631993440928,-0.0194341962218,-0.00447246904262,0.0316959808041,0.0374476456037,0.0396295771441,0.0377015599087,3.0,2.0,0.926558381596,[29],1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.56041372038,1.22565353477,94.5613142285,7.31593268034,1.0,12.009286907,0.155657998916,0.187249646445,5.0,0.0472096725,-0.006030571738,-0.049458560001,0.0686386926625,0.0474130376902,0.0147154611178,-0.0480613050383,0.0690972501689,0.0687787256052,0.0700763162295,3.0,2.0,0.929123450403,[29],1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1482590537,1.17816871794,94.9330439327,7.29126311074,2.0,12.0564965795,0.149627427178,0.137791086444,5.0,0.1427242258,-0.011392541115,-0.0719472084456,0.160238557864,0.102372351025,-0.00128321752639,-0.0508317985535,0.114304928353,0.125643499834,0.125132512581,2.0,2.0,0.925990415064,[29],1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.54869898332,1.08846366979,96.0568567344,7.19136794468,3.0,12.1992208053,0.138234886063,0.0658438779984,5.0,,,,,,,,,,,2.0,2.0,0.913303728974,[29],1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.92429669254,31.7166667888,85.271008976,7.39215154474,0.0,10.82941814,4.02801668218,1.1909156031,6.0,-0.0384931056,0.02302139258,0.02166637208,0.0498109965185,-0.00499959932181,0.00554512623038,0.0213667804181,0.0226336855975,0.0320064398022,0.0229167209129,10.0,7.0,0.938803246182,"[20, 26, 114, 167]",4.0,3.0,3.0,3.0,3.0,3.0,4.0
10.1048497931,31.8979375966,84.967913657,7.38002220237,1.0,10.7909250344,4.05103807476,1.21258197518,6.0,0.012502533,-0.03587007049,0.01969136073,0.0427869720332,0.0127058981902,-0.0151240376342,0.0210886156927,0.0288947413039,0.04284683761,0.0278913257229,10.0,6.0,0.937262819701,"[20, 26, 114, 167]",4.0,3.0,3.0,3.0,3.0,3.0,4.0
10.2689444659,31.6154960966,85.0663587982,7.38207671027,2.0,10.8034275674,4.01516800427,1.23227333591,6.0,0.0898837997,-0.04826173537,-0.02683493447,0.105491261522,0.0495319249254,-0.0381524117814,-0.00571952457785,0.0627832069343,0.074180323508,0.0680377235037,10.0,6.0,0.937523742204,"[20, 26, 114, 167, 226]",5.0,3.0,3.0,3.0,3.0,3.0,5.0
10.045320012,31.2354824323,85.7741052526,7.35110824608,3.0,10.8933113671,3.9669062689,1.20543840144,6.0,,,,,,,,,,,10.0,6.0,0.933590747252,"[20, 26, 114, 167, 226]",5.0,3.0,3.0,3.0,3.0,3.0,5.0
8.77861041174,79.8830211664,72.2170143644,7.63924339505,0.0,9.17156082427,10.1451436881,1.05343324941,7.0,-0.0242684118,-0.0628600725,-0.0127566629,0.0685789834741,0.00922509447819,-0.0803363388496,-0.0130562545619,0.0819115101257,0.0648014161202,0.0818642910935,6.0,3.0,0.970183911171,"[4, 19, 23]",3.0,3.0,2.0,3.0,2.0,3.0,3.0
8.67230488761,79.3880599654,72.0259245076,7.62198370546,1.0,9.14729241247,10.0822836156,1.04067658651,7.0,-0.0204736217,-0.0197786936,0.02619945951,0.0386882098921,-0.0202702565098,0.000967339255787,0.0275967144727,0.034254892992,0.0385809758574,0.0331395643125,6.0,4.0,0.967991930593,"[4, 19, 23]",3.0,3.0,2.0,3.0,2.0,3.0,3.0
8.89063371685,79.2323222206,71.864714888,7.59819424396,2.0,9.12681879077,10.062504922,1.06687604602,7.0,-0.02456138685,0.0169388453,-0.04436622494,0.0534653917924,-0.0649132616246,0.0270481688886,-0.0232508150479,0.0740671004924,0.0804302053352,0.0831486433467,6.0,5.0,0.964970668983,"[4, 19, 23]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
8.52091517568,79.365698955,71.6713181411,7.69665220692,3.0,9.10225740392,10.0794437673,1.02250982108,7.0,,,,,,,,,,,6.0,4.0,0.977474830279,"[4, 19, 23, 246]",4.0,4.0,3.0,4.0,3.0,4.0,4.0
15.0711109015,106.782260949,21.4822178229,7.60639703884,0.0,2.72824166351,13.5613471405,1.80853330818,8.0,-0.11930472709,-0.0409263034,-0.03923448714,0.132090594658,-0.0858112208118,-0.0584025697496,-0.0395340788019,0.111073710469,0.102848786616,0.11096743104,4.0,3.0,0.966012423933,"[13, 27, 116]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
14.744156842,106.460006591,20.542810523,7.65989129827,1.0,2.60893693642,13.5204208371,1.76929882104,8.0,-0.05110622333,-0.0518351655,0.01332620374,0.0740021496417,-0.0509028581398,-0.0310891326442,0.0147234587027,0.061436270814,0.0738618511502,0.0611164694783,4.0,3.0,0.97280619488,"[13, 27, 116]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
14.8552085398,106.051855682,20.1403993157,7.66916804788,2.0,2.55783071309,13.4685856716,1.78262502478,8.0,0.0698028925,0.0118476256,-0.08379303293,0.109699965366,0.0294510177254,0.0219569491886,-0.0626776230379,0.072649531949,0.0896046932087,0.0914917615436,4.0,3.0,0.973984342081,"[13, 27, 116]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
14.1569332654,106.145144072,20.6900283905,7.60684044546,3.0,2.62763360559,13.4804332972,1.69883199185,8.0,,,,,,,,,,,4.0,3.0,0.966068736573,"[13, 27, 116]",3.0,3.0,2.0,3.0,2.0,3.0,3.0
31.8163740091,15.2468313104,85.0695429359,7.41320910291,0.0,10.8038319529,1.93634757642,3.8179648811,9.0,0.0161288427,0.01127215668,0.01190767485,0.0229998652908,0.0496223489782,-0.00620410966962,0.0116080831881,0.0513382517253,0.0522611878421,0.0514068207074,8.0,4.0,0.94147755607,"[43, 147]",2.0,2.0,1.0,2.0,1.0,2.0,2.0
31.9156046329,15.3355884496,85.1965416974,7.40048533258,1.0,10.8199607956,1.9476197331,3.82987255595,9.0,0.0208403313,-0.04165774701,-0.00381359889,0.0467357553821,0.0210436964902,-0.0209117141542,-0.00241634392728,0.0297653434184,0.0468267934458,0.0299112100614,8.0,4.0,0.939861637238,"[43, 147]",2.0,2.0,1.0,2.0,1.0,2.0,2.0
31.8838246422,15.0075746936,85.3606387944,7.41247726827,2.0,10.8408011269,1.90596198609,3.82605895706,9.0,0.0041057253,-0.03168934865,0.00166644645,0.0319976380671,-0.0362461494746,-0.0215800250614,0.0227818563421,0.0479426095637,0.0481744248888,0.0422167961498,8.0,4.0,0.94138461307,"[43, 147]",2.0,2.0,1.0,2.0,1.0,2.0,2.0
31.8977116959,14.7580522633,85.3929673398,7.44496881051,3.0,10.8449068522,1.87427263744,3.82772540351,9.0,,,,,,,,,,,8.0,4.0,0.945511038935,"[43, 147]",2.0,2.0,1.0,2.0,1.0,2.0,2.0
13.2325505919,42.534300314,100.150337688,7.37873595695,0.0,12.7190928864,5.40185613988,1.58790607103,10.0,-0.0490276413,0.03332525781,-0.01186594997,0.0604572839965,-0.0155341350218,0.0158489914604,-0.0121655416319,0.0253081070881,0.0386352549839,0.0251654654214,7.0,3.0,0.937099466533,"[41, 113, 167]",3.0,2.0,1.0,2.0,1.0,2.0,3.0
13.1336676755,42.7967039188,99.7642932687,7.40673809214,1.0,12.6700652451,5.43518139769,1.57604012106,10.0,0.0017732528,-0.02212848281,0.03910954096,0.0449707724091,0.00197661799024,-0.00138244995421,0.0405067959227,0.0405785497829,0.0449792503745,0.0391838535708,7.0,3.0,0.940655737702,"[41, 113, 167]",3.0,2.0,1.0,2.0,1.0,2.0,3.0
13.4595805168,42.6224638967,99.7782558889,7.40486989166,2.0,12.6718384979,5.41305291488,1.61514966202,10.0,0.0708263443,-0.04681002541,0.02703205682,0.0890970348648,0.0304744695254,-0.0367007018214,0.0481474667121,0.0677776759548,0.0620532341435,0.0548303465515,7.0,3.0,0.940418476241,"[41, 113, 167]",3.0,2.0,2.0,2.0,2.0,2.0,3.0
13.684847657,42.2538810194,100.335943639,7.42567738856,3.0,12.7426648422,5.36624288947,1.64218171884,10.0,,,,,,,,,,,7.0,3.0,0.943061028347,"[41, 113, 167]",3.0,3.0,1.0,3.0,1.0,3.0,3.0
27.8490178525,25.8426997861,121.912147125,7.45505331477,0.0,15.4828426848,3.28202287283,3.3418821423,11.0,0.0191607693,0.04207538183,-0.04797367661,0.0666254192016,0.0526542755782,0.0245991154804,-0.0482732682719,0.0755506297044,0.0827301888085,0.0753595572344,5.0,3.0,0.946791770976,"[135, 227]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
27.4492372141,26.1740020052,122.063019324,7.43675015447,1.0,15.5020034541,3.32409825466,3.29390846569,11.0,-0.0131672315,-0.02506024103,0.0258674674,0.0383473276194,-0.0129638663098,-0.00431420817421,0.0272647223627,0.0304965458271,0.0382779751276,0.0292540611122,5.0,3.0,0.944467269618,[135],1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.6647994424,25.9766772727,121.959340335,7.42810467341,2.0,15.4888362226,3.29903801363,3.31977593309,11.0,0.0672932041,-0.01230534251,0.03839449782,0.0784470154638,0.0269413293254,-0.00219601892139,0.0595099077121,0.0653612028717,0.0484911759288,0.046955246648,5.0,3.0,0.943369293523,"[135, 227]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
27.984753591,25.879784812,122.489208084,7.48876232951,3.0,15.5561294267,3.28673267112,3.35817043091,11.0,,,,,,,,,,,5.0,3.0,0.951072815848,[135],1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.9874225043,77.9454031616,43.2598910319,7.59840263409,0.0,5.49400616105,9.89906620152,2.03849070051,12.0,-0.03014735795,-0.02983297572,0.09415833296,0.103269846991,0.00334614832819,-0.0473092420696,0.0938587412981,0.105160945279,0.0988281074126,0.105428424818,5.0,3.0,0.964997134529,"[18, 38, 51]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
17.7720752789,77.7104978409,43.0225102607,7.65658857962,1.0,5.4638588031,9.8692332258,2.13264903347,12.0,-0.01163012525,-0.0571415136,-0.00088112829,0.0583197117353,-0.0114267600598,-0.0363954807442,0.000516126672715,0.0381505996127,0.0582794973299,0.038157283068,5.0,3.0,0.972386749612,"[18, 38, 51]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
17.7647325432,77.260564663,42.9309344713,7.64952303459,2.0,5.45222867785,9.8120917122,2.13176790518,12.0,0.00958825771,-0.04689876828,-0.00781596403,0.0485027674037,-0.0307636170646,-0.0367894446914,0.0132994458621,0.0497668427353,0.0566302383431,0.0485896354104,5.0,3.0,0.971489425393,"[18, 38, 51]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
17.6995995096,76.891283023,43.0064325635,7.65888179971,3.0,5.46181693556,9.76519294392,2.12395194115,12.0,,,,,,,,,,,5.0,3.0,0.972677988563,"[18, 38, 51]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
19.8797239968,92.0951819207,23.1948456152,7.74225239334,0.0,2.94574539313,11.6960881039,2.38556687961,13.0,-0.0675286454,-0.016509949,0.01357759619,0.0708311194592,-0.0340351391218,-0.0339862153496,0.0132780045281,0.049897484236,0.0401910466313,0.0499780416496,4.0,2.0,0.983266053954,"[8, 63]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
19.9928706316,91.965182322,22.6631239979,7.7541957634,1.0,2.87821674773,11.6795781549,2.3991444758,13.0,-0.03981810952,-0.0451835011,0.02660118106,0.0658380851118,-0.0396147443298,-0.0244374682442,0.0279984360227,0.0543178630122,0.0657152917802,0.0536110124535,5.0,2.0,0.984782861952,"[8, 63]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
20.2145471405,91.6094067231,22.3495955764,7.75418938672,2.0,2.83839863821,11.6343946538,2.42574565686,13.0,0.03230042586,0.0063164429,-0.05699567083,0.0658158146269,-0.00805144891455,0.0164257664886,-0.0358802609379,0.0402743685156,0.0579070787892,0.0598593194726,4.0,2.0,0.984782052113,"[8, 63]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
19.7395832169,91.6591424937,22.6039296384,7.74644402187,3.0,2.87069906407,11.6407110967,2.36874998603,13.0,,,,,,,,,,,4.0,2.0,0.983798390777,"[8, 63]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
9.14336979826,121.88640465,69.6957972737,7.46336852558,0.0,8.85136625376,15.4795733905,1.09720437579,14.0,-0.06650777172,-0.0297576679,0.00801325775,0.0733008512759,-0.0330142654418,-0.0472339342496,0.00771366608812,0.0581419548336,0.045162737088,0.0581824592736,4.0,3.0,0.947847802749,"[30, 57, 165, 244]",4.0,1.0,1.0,1.0,1.0,1.0,4.0
9.21014694617,121.652092304,69.1721140318,7.42754279333,1.0,8.78485848204,15.4498157226,1.10521763354,14.0,-0.0287021948,-0.0722888309,0.02812875516,0.082708632718,-0.0284988296098,-0.0515427980442,0.0295260101227,0.0658834470343,0.0826382794404,0.0652692131575,4.0,3.0,0.943297934753,"[30, 57, 244]",3.0,1.0,1.0,1.0,1.0,1.0,3.0
9.4445532392,121.082888911,68.9461124979,7.41217207247,2.0,8.75615628724,15.3775268917,1.1333463887,14.0,0.04744539061,0.0031644481,0.0367022286,0.060067731821,0.00709351583545,0.0132737716886,0.0578176384921,0.059744374652,0.0375151340514,0.0396681807745,4.0,3.0,0.941345853204,"[30, 57, 244]",3.0,2.0,1.0,2.0,1.0,2.0,3.0
9.75040514415,121.107805825,69.3196982508,7.46897471097,3.0,8.80360167785,15.3806913398,1.1700486173,14.0,,,,,,,,,,,4.0,3.0,0.948559788293,"[30, 57, 165, 244]",4.0,2.0,1.0,2.0,1.0,2.0,4.0
1.9213251907,85.0874943033,48.3166023438,7.35438778826,0.0,6.13620849766,10.8061117765,0.230559022884,15.0,-0.07193347453,-0.1082448588,0.058340355398,0.142460420056,-0.0384399682518,-0.12572112515,0.0580407637361,0.143708603511,0.128833915115,0.143829863158,5.0,2.0,0.934007249109,[23],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.40749481902,84.2351725805,47.7501970325,7.40734599184,1.0,6.06427502313,10.6978669177,0.288899378282,15.0,-0.01839448735,-0.0214423595,-0.007536713584,0.0292392543927,-0.0181911221598,-0.000696326644213,-0.00613945862128,0.0192118387561,0.0291117460487,0.0197028893281,5.0,2.0,0.940732940964,[23],1.0,1.0,1.0,1.0,1.0,1.0,1.0
