centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,47,0,40,57,-180,0,-180,-180,0.0,0.03884297520661157,0.03305785123966942,0.047107438016528926
-162,9,-162,-162,45,18,41,51,-168,6,-168,-168,0.06302829868867794,0.0371900826446281,0.033884297520661154,0.04214876033057851
-150,15,-150,-150,33,18,37,40,-156,12,-156,-156,0.03809533484621913,0.02727272727272727,0.030578512396694214,0.03305785123966942
-138,21,-138,-138,48,17,34,17,-144,18,-144,-144,0.02598455479511426,0.03966942148760331,0.02809917355371901,0.014049586776859505
-126,27,-126,-126,41,17,46,50,-132,24,-132,-132,0.02051151208475703,0.033884297520661154,0.03801652892561983,0.04132231404958678
-114,33,-114,-114,35,47,34,51,-120,30,-120,-120,0.04726989243556692,0.028925619834710745,0.02809917355371901,0.04214876033057851
-102,39,-102,-102,30,66,44,40,-108,36,-108,-108,0.057447039487799036,0.024793388429752067,0.03636363636363636,0.03305785123966942
-90,45,-90,-90,45,40,27,38,-96,42,-96,-96,0.030986356265312785,0.0371900826446281,0.02231404958677686,0.03140495867768595
-78,51,-78,-78,55,20,49,23,-84,48,-84,-84,0.014096877373194771,0.045454545454545456,0.04049586776859504,0.019008264462809916
-66,57,-66,-66,40,38,37,33,-72,54,-72,-72,0.024819196360359484,0.03305785123966942,0.030578512396694214,0.02727272727272727
-54,63,-54,-54,32,38,61,54,-60,60,-60,-60,0.023361365986015112,0.026446280991735537,0.050413223140495865,0.04462809917355372
-42,69,-42,-42,46,58,18,37,-48,66,-48,-48,0.034030770060622495,0.03801652892561983,0.01487603305785124,0.030578512396694214
-30,75,-30,-30,49,74,50,51,-36,72,-36,-36,0.041964636186132456,0.04049586776859504,0.04132231404958678,0.04214876033057851
-18,81,-18,-18,39,55,71,43,-24,78,-24,-24,0.030502699982375998,0.032231404958677684,0.05867768595041322,0.03553719008264463
-6,87,-6,-6,31,82,33,37,-12,84,-12,-12,0.0449784998817825,0.0256198347107438,0.02727272727272727,0.030578512396694214
6,93,6,6,48,74,41,65,0,90,0,0,0.040590353551852504,0.03966942148760331,0.033884297520661154,0.05371900826446281
18,99,18,18,43,70,46,54,12,96,12,12,0.03882161815938763,0.03553719008264463,0.03801652892561983,0.04462809917355372
30,105,30,30,43,78,41,21,24,102,24,24,0.04423299489889637,0.03553719008264463,0.033884297520661154,0.017355371900826446
42,111,42,42,51,67,33,10,36,108,36,36,0.039311406794167364,0.04214876033057851,0.02727272727272727,0.008264462809917356
54,117,54,54,57,46,48,54,48,114,48,48,0.028279548298860396,0.047107438016528926,0.03966942148760331,0.04462809917355372
66,123,66,66,38,40,41,47,60,120,60,60,0.02612546985300998,0.03140495867768595,0.033884297520661154,0.03884297520661157
78,129,78,78,37,24,51,22,72,126,72,72,0.01691625284783372,0.030578512396694214,0.04214876033057851,0.01818181818181818
90,135,90,90,41,43,35,42,84,132,84,84,0.033310332985211244,0.033884297520661154,0.028925619834710745,0.03471074380165289
102,141,102,102,46,69,32,41,96,138,96,96,0.06005826855542624,0.03801652892561983,0.026446280991735537,0.033884297520661154
114,147,114,114,30,39,37,34,108,144,108,108,0.039223953297598105,0.024793388429752067,0.030578512396694214,0.02809917355371901
126,153,126,126,20,22,43,49,120,150,120,120,0.026544309756744388,0.01652892561983471,0.03553719008264463,0.04049586776859504
138,159,138,138,53,22,12,31,132,156,132,132,0.03362707091132434,0.043801652892561986,0.009917355371900827,0.0256198347107438
150,165,150,150,36,16,41,50,144,162,144,144,0.03386251986330586,0.02975206611570248,0.033884297520661154,0.04132231404958678
162,171,162,162,31,12,62,34,156,168,156,156,0.04201886579245194,0.0256198347107438,0.0512396694214876,0.02809917355371901
174,177,174,174,20,0,25,34,168,174,168,168,0.0,0.01652892561983471,0.02066115702479339,0.02809917355371901
