z,y,x,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy
2.6609135037,41.4462296219,96.1449636989,0.0,12.2104103898,5.26367116198,0.319309620444,0.0,0.002475714,0.02238612327,0.003183496651,0.0227464794154,-0.00151901689981,0.0204643270488,0.00453939634993,0.0210167127097,0.0226623162613,0.0207660960421
2.68744264246,41.6224983091,96.1644575099,1.0,12.2128861038,5.28605728525,0.322493117095,0.0,0.0080481862,-0.01211807969,0.004409760825,0.0152008929677,0.00586895390536,-0.0149391067888,0.00490835717882,0.0167843230959,0.0141682202782,0.0166453453591
2.72419064933,41.5270803588,96.2278290554,2.0,12.22093429,5.27393920556,0.32690287792,0.0,0.0019394375,-0.01253826929,0.001966253379,0.0128388382245,0.00112004152448,-0.00446737202726,0.00373192387359,0.00592782942103,0.0127408336523,0.00500779973611
2.74057609415,41.4283538289,96.2431002165,3.0,12.2228737275,5.26140093627,0.328869131299,0.0,,,,,,,,,,
4.4700500715,124.572870431,43.5930254358,0.0,5.53631423034,15.8207545448,0.53640600858,1.0,-0.01001736419,0.0242883138,-0.007772174435,0.0273984756512,-0.0140120950898,0.0223665175788,-0.00641627473607,0.0271618942435,0.0290975547341,0.0275137531583
4.40528195121,124.764116997,43.5141485524,1.0,5.52629686615,15.8450428586,0.528633834145,1.0,0.02137852838,-0.0025208492,0.002394352813,0.021659387844,0.0191992960854,-0.00534187629883,0.00289294916682,0.0201374717243,0.0195115498169,0.0200719091757
4.42523489132,124.74426779,43.6824834215,2.0,5.54767539453,15.8425220094,0.531028186958,1.0,-0.000666426460001,-0.0049703461,0.008976470284,0.0102822897907,-0.00148582243552,0.00310055116274,0.0107421407786,0.0112789482812,0.0103676915185,0.00961239328067
4.50003881035,124.705131207,43.6772359691,3.0,5.54700896807,15.8375516633,0.540004657242,1.0,,,,,,,,,,
6.3301315609,53.4233506989,115.067319234,0.0,14.6135495428,6.78476553876,0.759615787308,2.0,0.0083474013,-0.00615813987,-0.003278880227,0.0108790096362,0.00435267040019,-0.00807993609119,-0.00192298052807,0.00937704436173,0.00822310657928,0.00974587925195
6.30280755901,53.3748614086,115.133046804,1.0,14.6218969441,6.77860739889,0.756336907081,2.0,-0.0019151332,0.00510709646,0.003076793473,0.00626233402982,-0.00409436549464,0.00228606936117,0.00357538982682,0.00589689361796,0.00723276718351,0.00560861836848
6.32844750461,53.4150747666,115.117967015,2.0,14.6199818109,6.78371449535,0.759413700554,2.0,0.0061002912,0.000364201530001,0.002083832197,0.00645666725986,0.00528089522448,0.00843509879274,0.00384950269159,0.0106703991016,0.00568883588721,0.0101676498091
6.34581277293,53.4179424951,115.166000804,3.0,14.6260821021,6.78407869688,0.761497532751,2.0,,,,,,,,,,
4.02757977006,52.2023028904,28.8216404635,0.0,3.66034833886,6.62969246708,0.483309572407,3.0,0.00916404575,-0.01008967662,-0.027741216803,0.0309088404589,0.00516931485019,-0.0120114728412,-0.0263853171041,0.02944795841,0.0299682915767,0.030668752918
3.79640296336,52.1228566178,28.893798304,1.0,3.66951238461,6.61960279046,0.455568355604,3.0,0.00260953711,0.01114389796,0.001367276242,0.0115267337088,0.000430304815364,0.00832287086117,0.00186587259582,0.008540305741,0.0112357050646,0.00844540028228
3.80779693205,52.2106038459,28.9143458403,2.0,3.67212192172,6.63074668842,0.456935631846,3.0,0.00674430481,0.00478717867,0.016654599261,0.0185951177338,0.00592490883448,0.0128580759327,0.0184202697556,0.0232323266002,0.0183138554341,0.0218588732082
3.94658525922,52.2482981661,28.9674506026,3.0,3.67886622653,6.63553386709,0.473590231107,3.0,,,,,,,,,,
7.58416974418,85.7374504129,111.604721687,0.0,14.1737996542,10.8886562024,0.910100369301,4.0,-0.0029262909,0.0102348287,-0.00230501141,0.0108916470081,-0.00692102179981,0.00831303247881,-0.000949111711074,0.0108585387961,0.0125684262687,0.0110598430978
7.56496131576,85.8180396147,111.581680026,1.0,14.1708733633,10.8988910311,0.907795357891,4.0,0.0094563521,0.0048828643,-0.002330817636,0.0108948460138,0.00727711980536,0.00206183720117,-0.00183222128218,0.00778233127878,0.0090681611855,0.00791456607516
7.54553783546,85.8564873656,111.656139491,2.0,14.1803297154,10.9037738954,0.905464540255,4.0,-0.0016602804,-0.0044043676,-0.002195629163,0.00519382059605,-0.00247967637552,0.00366652966274,-0.000429958668405,0.00444714505628,0.00551072012578,0.00494095356348
7.52724092576,85.8218073052,111.643066417,3.0,14.178669435,10.8993695278,0.903268911092,4.0,,,,,,,,,,
3.75960688853,30.7550112601,79.8915888085,0.0,10.1462317787,3.90588643003,0.451152826624,5.0,0.0013494108,0.00147734319,0.00229604739,0.00304553542506,-0.00264532009981,-0.000444453031195,0.00365194708893,0.00453122218256,0.0038015911075,0.00353087673879
3.77874061678,30.7666438837,79.9022140908,1.0,10.1475811895,3.90736377322,0.453448874014,5.0,0.0081281515,-0.00788861371,0.006596371071,0.0131076002525,0.00594891920536,-0.0107096408088,0.00709496742482,0.0141571398497,0.0118798980334,0.0139139554862
3.83371037571,30.704528815,79.9662152838,2.0,10.155709341,3.89947515951,0.460045245085,5.0,0.0031575389,-0.00673558568,-0.005829792359,0.00945117163672,0.00233814292448,0.00133531158274,-0.00406412186441,0.00487514675543,0.00920985915945,0.00642156120483
3.78512877272,30.6514927073,79.9910777948,3.0,10.1588668799,3.89273957383,0.454215452726,5.0,,,,,,,,,,
