z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um,rad_um,neighbors,contacts,contacts_0pt2um
10.9785621517,78.8575606352,101.570550039,7.37907562187,0.0,12.899459855,10.0149102007,1.31742745821,0.0,-0.0047456368,-0.04013884937,0.01598895662,0.0434660215707,0.0187685642447,-0.0301737555994,0.0340580663973,0.0492205893656,0.0471066127667,0.0389661553733,4.0,3.0,0.922384452734,"[85, 170, 219]",none,3.0
11.111803457,78.5415067034,101.53318282,7.35673155045,1.0,12.8947142182,9.97477135133,1.33341641483,0.0,-0.0349535178,0.01967699128,0.00788271043,0.0408787171539,0.0157448898912,-0.00672146600024,0.0210868754065,0.0271612955746,0.0264049742898,0.0188471957225,5.0,3.0,0.919591443806,"[85, 170, 219]",none,3.0
11.1774927105,78.6964436426,101.257958271,7.36270791361,2.0,12.8597607004,9.99444834261,1.34129912526,0.0,-0.0816711345,-0.00120091821,-0.01373592843,0.0828268805696,-0.0419794275295,0.0178572474236,0.0143600196681,0.0478263921504,0.0441858605222,0.0476427261089,5.0,3.0,0.920338489201,"[85, 170, 219]",none,3.0
11.0630266403,78.6869875937,100.614878471,7.36325077032,3.0,12.7780895659,9.9932474244,1.32756319683,0.0,,,,,,,,,,,5.0,3.0,0.92040634629,"[85, 170, 219]",none,3.0
11.6572017308,85.9901805136,5.87900534663,7.40083983966,0.0,0.746633679022,10.9207529252,1.39886420769,1.0,-0.008199216612,-0.0084655882,-0.05004211658,0.0514111541247,0.0153149844327,0.0014995055706,-0.0319730068027,0.0354833824366,0.0530134734153,0.0523546626093,5.0,3.0,0.925104979958,"[26, 149, 165, 184]",none,4.0
11.2401840926,85.9235223384,5.81444458591,7.41977682502,1.0,0.73843446241,10.912287337,1.34882209111,1.0,0.064504919756,0.1183574821,0.0630706891,0.148819656179,0.115203327447,0.0919590248198,0.0762748540765,0.16597024512,0.176799920949,0.160331471409,6.0,3.0,0.927472103127,"[26, 149, 165, 184]",none,4.0
11.7657731684,86.8554710162,6.32235733989,7.45167420813,2.0,0.802939382166,11.0306448191,1.41189278021,1.0,-0.022952192741,0.0426499604,0.10500995939,0.115641315475,0.0167395142295,0.0617081260336,0.133105907488,0.147666132757,0.11457016204,0.12294387226,6.0,5.0,0.931459276016,"[26, 52, 149, 165, 184]",none,5.0
12.6408561633,87.1912974762,6.14163141279,7.42599058811,3.0,0.779987189425,11.0732947795,1.5169027396,1.0,,,,,,,,,,,6.0,5.0,0.928248823514,"[26, 52, 149, 165, 184]",none,5.0
14.7742797722,57.6503259419,97.9067548914,7.49818201909,0.0,12.4341578712,7.32159139463,1.77291357266,2.0,-0.0137712118,-0.00902457864,-0.0070491124,0.017910312105,0.00974298924473,0.000940515130603,0.0110199973773,0.0147394284261,0.0150352533959,0.0120623544038,6.0,3.0,0.937272752386,"[10, 33, 225]",none,3.0
14.7155371689,57.5792662676,97.7983201526,7.48189385276,1.0,12.4203866594,7.31256681599,1.76586446026,2.0,-0.0605952469,-0.02141202889,0.00489435821,0.0644531897608,-0.00989683920878,-0.0478104861702,0.0180985231865,0.0520705920428,0.0240910180316,0.049068775779,5.0,3.0,0.935236731595,"[10, 33, 225]",none,3.0
14.7563234873,57.410667615,97.3211922248,7.48343581411,2.0,12.3597914125,7.2911547871,1.77075881847,2.0,-0.082202959,0.03948380051,-0.05233327604,0.105143087039,-0.0425112520295,0.0585419661436,-0.0242373279419,0.0763008284021,0.0781341719922,0.0892924416183,5.0,3.0,0.935429476764,"[10, 33, 225]",none,3.0
14.3202128536,57.721563682,96.6739248304,7.49845599681,3.0,12.2775884535,7.33063858761,1.71842554243,2.0,,,,,,,,,,,5.0,3.0,0.937306999601,"[10, 33, 225]",none,3.0
10.7201202638,24.7026924266,72.5974948148,7.21841223608,0.0,9.21988184148,3.13724193818,1.28641443166,3.0,0.01286400029,0.09630392581,-0.01253195796,0.0979641699816,0.0363782013347,0.106269019581,0.00553715181726,0.112459495398,0.103705687545,0.113020033734,7.0,3.0,0.90230152951,"[7, 13]",none,2.0
10.6156872808,25.460991055,72.6987861557,7.17865914806,1.0,9.23274584177,3.23354586399,1.2738824737,3.0,-0.20437967189,0.13215732412,-0.03886071081,0.246468585108,-0.153681264199,0.10575886684,-0.0256565458335,0.188311250925,0.206382276683,0.190559764183,7.0,4.0,0.897332393508,"[7, 13, 126, 201]",none,4.0
10.291848024,26.5015999063,71.0894974006,7.22591424658,2.0,9.02836616988,3.36570318811,1.23502176289,3.0,-0.01941130111,0.10744022594,0.07171140465,0.130624371071,0.0202804058605,0.126498391574,0.0998073527481,0.162402726563,0.130756348101,0.146818471213,7.0,4.0,0.903239280823,"[7, 13, 126, 201]",none,4.0
10.8894430628,27.3475859374,70.93665251,7.22728179221,3.0,9.00895486877,3.47314341405,1.30673316754,3.0,,,,,,,,,,,6.0,4.0,0.903410224026,"[7, 13, 27, 126]",none,4.0
17.2803055657,9.81714115763,78.9361694743,7.52841299721,0.0,10.0248935232,1.24677692702,2.07363666788,4.0,0.0065478799,0.0068244854,-0.02372455991,0.0255402246482,0.0300620809447,0.0167895791706,-0.00565545013274,0.0348941656392,0.0388993194622,0.0418147512533,6.0,4.0,0.941051624651,"[13, 14, 100, 204]",none,4.0
17.0826008998,9.87087726314,78.9877275832,7.51666248794,1.0,10.0314414031,1.25360141242,2.04991210797,4.0,-0.09330066315,0.07417911338,-0.03028015028,0.122981470584,-0.0426022554588,0.0477806560998,-0.0170759853035,0.0662535473887,0.0907434875514,0.0708154698387,7.0,4.0,0.939582810992,"[13, 14, 100, 204]",none,4.0
16.830266314,10.4549647701,78.2530766926,7.5089189292,2.0,9.93814073995,1.3277805258,2.01963195769,4.0,-0.0472701088,-0.12857614949,-0.07159687643,0.154571673078,-0.00757840182948,-0.109517983856,-0.0435009283319,0.118084510957,0.147361362326,0.131063853433,8.0,5.0,0.93861486615,"[13, 14, 100, 204]",none,4.0
16.2336256771,9.4425541442,77.8808711114,7.56101131569,3.0,9.89087063115,1.19920437631,1.94803508126,4.0,,,,,,,,,,,7.0,5.0,0.945126414461,"[13, 14, 100, 204]",none,4.0
2.60475905548,14.3683797605,32.2698517918,7.45914579953,0.0,4.09827117755,1.82478422958,0.312571086658,5.0,-0.04524436806,0.01872694846,-0.019981919779,0.0528869412788,-0.0217301670153,0.0286920422306,-0.00191281000174,0.0360429228556,0.0349596320803,0.0411668624494,6.0,2.0,0.932393224941,"[8, 218, 235]",none,3.0
2.43824305732,14.5158360476,31.9135969251,7.42970921269,1.0,4.05302680949,1.84351117804,0.292589166879,5.0,-0.16707767928,-0.02382944154,-0.023253310729,0.170362876407,-0.116379271589,-0.0502278988202,-0.0100491457525,0.127153301199,0.121048311015,0.128870838964,6.0,2.0,0.928713651586,"[8, 218, 235]",none,3.0
2.24446546792,14.3282026496,30.5980246473,7.47126271849,2.0,3.88594913021,1.8196817365,0.26933585615,5.0,-0.01988072105,-0.03067421772,0.034830582332,0.0504907929012,0.0198109859205,-0.0116160520864,0.0629265304301,0.0669862378492,0.0504633754466,0.0417202264472,6.0,2.0,0.933907839811,"[8, 218, 235]",none,3.0
2.53472032068,14.0866733762,30.4414835367,7.55831795487,3.0,3.86606840916,1.78900751878,0.304166438482,5.0,,,,,,,,,,,5.0,3.0,0.944789744359,"[8, 218, 235]",none,3.0
23.1938538097,112.639874695,5.43977083617,7.58797465416,0.0,0.690850896193,14.3052640862,2.78326245717,6.0,0.03920756647,-0.0495466794,-0.0018163986,0.0632092241049,0.0627217675147,-0.0395815856294,0.0162527111773,0.0759267585356,0.0799511905078,0.0741890918194,4.0,3.0,0.94849683177,"[96, 203, 210]",none,3.0
23.1787171547,112.24974336,5.74849183199,7.55159885712,1.0,0.730058462663,14.2557174068,2.78144605857,6.0,-0.019276405912,0.0506810359,-0.04650509327,0.0714343819518,0.0314220017792,0.0242825786198,-0.0333009282935,0.0518260325073,0.0756216456827,0.061153164434,4.0,3.0,0.94394985714,"[96, 203, 210]",none,3.0
22.7911747108,112.648806636,5.59670910828,7.5110984254,2.0,0.710782056751,14.3063984427,2.7349409653,6.0,-0.176449240001,-0.0222888896,-0.02294440385,0.179325331631,-0.13675753303,-0.00323072396635,0.00515154424809,0.13689265439,0.140448791765,0.138706546659,5.0,3.0,0.938887303175,"[96, 203, 210]",none,3.0
22.5999713455,112.473303568,4.20734501378,7.54747928193,3.0,0.53433281675,14.2841095531,2.71199656145,6.0,,,,,,,,,,,5.0,3.0,0.943434910241,"[96, 203, 210]",none,3.0
3.74723098929,37.3815427782,73.935358154,7.4168231331,0.0,9.38979048556,4.74745593283,0.449667718715,7.0,0.08950456021,0.12699874536,0.124584540566,0.199150835724,0.113018761255,0.136963839131,0.142653650343,0.2277770787,0.210768188934,0.216918513209,3.0,2.0,0.927102891637,[3],none,1.0
4.78543549401,38.3815328991,74.6401184706,7.41727362197,1.0,9.47929504577,4.87445467819,0.574252259281,7.0,-0.07064396863,0.14824744102,0.066900669811,0.177323359132,-0.0199455609388,0.12184898374,0.0801048347875,0.147179430614,0.163862225029,0.140430409316,3.0,1.0,0.927159202746,[3],none,1.0
5.34294107577,39.5488355843,74.0838667491,7.40020437768,2.0,9.40865107714,5.02270211921,0.641152929092,7.0,0.04649033682,-0.01123824446,-0.163624576897,0.17047185023,0.0861820437905,0.00781992117365,-0.135528628799,0.16079958042,0.185274512481,0.185098616969,2.0,1.0,0.92502554721,[3],none,1.0
3.97940293496,39.4603454705,74.4499323934,7.37640416362,3.0,9.45514141396,5.01146387475,0.477528352195,7.0,,,,,,,,,,,2.0,2.0,0.922050520453,[3],none,1.0
5.10942033959,9.56704844092,22.74440534,7.58117409063,0.0,2.88853947818,1.215015152,0.61313044075,8.0,-0.03454004052,0.02261954209,-0.008450432583,0.0421434205342,-0.0110258394753,0.0325846358606,0.00961867719426,0.0357189946845,0.0265447288804,0.0354222732351,5.0,3.0,0.947646761329,"[5, 83, 235]",none,3.0
5.03900006806,9.74515507154,22.472436517,7.52103023346,1.0,2.85399943766,1.23763469409,0.604680008167,8.0,-0.1620682635,-0.04556966878,-0.006471850883,0.168477302924,-0.111369855809,-0.0719681260602,0.00673231409353,0.132770403346,0.120506117477,0.132757451035,5.0,3.0,0.940128779183,"[5, 83, 235]",none,3.0
