z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um
4.29209836123,41.0956559684,73.6173335427,7.62116039737,0.0,9.34940135992,5.21914830799,0.515051803348,0.0,-0.48161553929,0.14107393487,0.01261566056,0.502010495584,-0.14161531904,0.0794926171759,0.0455906978443,0.168678648626,0.200289561829,0.16288993113,4.0,3.0
4.3972288659,42.2064743532,69.8250852018,7.65503628053,1.0,8.86778582063,5.36022224286,0.527667463908,0.0,-0.18812590893,0.12921606707,0.04365623546,0.232366125961,-0.0291178192277,0.139659840285,0.0292715578953,0.145634963133,0.1394650719,0.149193114049,4.0,4.0
4.76103082806,43.2239237003,68.3437788323,7.66217244387,2.0,8.6796599117,5.48943830993,0.571323699368,0.0,-0.04437633331,0.0288457895,0.012334298354,0.0543458687096,-0.0411707876128,-0.0272470857899,0.0143039840614,0.0514007917908,0.0517614551614,0.050887840911,5.0,4.0
4.86381664769,43.451055901,67.9943588849,7.72369907597,3.0,8.63528357839,5.51828409943,0.583657997722,0.0,,,,,,,,,,,6.0,4.0
10.8570772312,29.1733559877,66.7972928019,7.40721825156,0.0,8.48325618584,3.70501621044,1.30284926775,1.0,-0.47058696907,0.10727926703,0.0242670636,0.483269931786,-0.13058674882,0.0456979493359,0.0572421008843,0.149725948501,0.170735557157,0.140463845585,5.0,3.0
11.0593027612,30.0180746257,63.0918835966,7.41344579922,1.0,8.01266921677,3.81229547747,1.32711633135,1.0,-0.01756912857,0.03071352935,0.01201004907,0.0373662473699,0.141438961132,0.0411573025651,-0.00237462849471,0.147324614851,0.145232716321,0.147794264298,5.0,3.0
11.1593865035,30.2599134395,62.9535440016,7.43131173006,2.0,7.9951000882,3.84300900682,1.33912638042,1.0,-0.01770094677,-0.010364456,-0.01930854097,0.0281702896528,-0.0144954010728,-0.0664573312899,-0.0173388552626,0.0701949388222,0.0262746713553,0.0707072364672,5.0,3.0
10.9984819954,30.1783035498,62.8141664679,7.42339055376,3.0,7.97739914143,3.83264455082,1.31981783945,1.0,,,,,,,,,,,5.0,3.0
-0.104825930759,3.54370495079,61.8593849829,7.84854572188,0.0,7.85614189283,0.45005052875,-0.0125791116911,2.0,-0.12865417155,0.07986364579,-0.0759873032327,0.169423044562,0.2113460487,0.0182823280959,-0.0430122659484,0.216451959667,0.238368253911,0.225334120972,3.0,3.0
-0.738053457698,4.17255255544,60.8463600101,7.82827590375,1.0,7.72748772128,0.52991417454,-0.0885664149238,2.0,-0.30745879865,0.101623084441,-0.0641024170472,0.330101929758,-0.148450708948,0.112066857656,-0.0784870946119,0.201883178082,0.190981633017,0.196737676725,3.0,3.0
-1.27224026642,4.97273432268,58.4254245876,7.66542136986,2.0,7.42002892263,0.631537258981,-0.152668831971,2.0,0.46385876711,0.00276744016,-0.146703108406,0.486512504018,0.467064312807,-0.0533254351299,-0.144733422699,0.491874412809,0.489569742773,0.492457588373,3.0,3.0
-2.49476616981,4.99452519008,62.0778558247,7.51025695544,3.0,7.88388768974,0.634304699141,-0.299371940377,2.0,,,,,,,,,,,3.0,3.0
11.2596915546,2.40188545458,106.60045691,7.45062986705,0.0,13.5382580276,0.305039452732,1.35116298655,3.0,-0.3368283174,0.100658694322,0.00753867203,0.351628098594,0.00317190285017,0.0390773766279,0.0405137093143,0.0563778589005,0.100990421755,0.0399241018406,3.0,3.0
11.3225138215,3.19447359885,103.948265435,7.51831219691,1.0,13.2014297102,0.405698147054,1.35870165858,3.0,-0.1086570483,0.015127146244,-0.00319186412,0.109751413181,0.0503510414023,0.0255709194591,-0.0175765416847,0.0591441806932,0.0526711108706,0.056562242608,3.0,3.0
11.2959149538,3.3135849866,103.092698125,7.48040657697,2.0,13.0927726619,0.420825293298,1.35550979446,3.0,0.0244708534,0.137983023494,0.05530238194,0.150653545882,0.0276763990972,0.0818901482041,0.0572720676474,0.103692184722,0.151207312283,0.102617410258,3.0,3.0
11.7567681366,4.40006548655,103.28538201,7.59581845429,3.0,13.1172435153,0.558808316792,1.4108121764,3.0,,,,,,,,,,,3.0,3.0
22.1496396702,64.3908921583,106.891159941,7.14656981391,0.0,13.5751773125,8.1776433041,2.65795676043,4.0,-0.4153045038,-0.05174248129,-0.12546643866,0.436917546542,-0.0753042835498,-0.113323798984,-0.0924914013757,0.16452257555,0.155209042008,0.185080646658,6.0,3.0
21.1040860147,63.9834710457,103.621045738,7.16655860487,1.0,13.1598728087,8.12590082281,2.53249032177,4.0,-0.1624056973,0.01919587048,0.16299373845,0.230891859391,-0.00339760759769,0.0296396436951,0.148609060885,0.15157409143,0.164155365294,0.16570157208,6.0,2.0
22.4623671685,64.1346196322,102.34226072,7.23291897658,2.0,12.9974671114,8.14509669329,2.69548406022,4.0,-0.0164038204,0.1618696939,-0.06851527787,0.176536756594,-0.0131982747028,0.10577681861,-0.0665455921626,0.125663223127,0.176267795017,0.126717296026,5.0,2.0
21.8914065196,65.4091841511,102.21309678,7.2309007185,3.0,12.981063291,8.30696638719,2.62696878235,4.0,,,,,,,,,,,5.0,2.0
20.4466854923,0.52225668332,79.9230287943,7.49364120738,0.0,10.1502246569,0.0663265987817,2.45360225908,5.0,-0.30558911833,0.123128830134,-0.11740920771,0.349757544746,0.0344111019202,0.0615475124399,-0.0844341704257,0.110006133276,0.173579246457,0.136956716805,3.0,3.0
