centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,55,0,39,50,-180,0,-180,-180,0.0,0.05013673655423884,0.03555150410209663,0.04557885141294439
-162,9,-162,-162,33,3,35,25,-168,6,-168,-168,0.012672020595272712,0.0300820419325433,0.03190519598906107,0.022789425706472195
-150,15,-150,-150,20,10,31,20,-156,12,-156,-156,0.025530588523924768,0.018231540565177756,0.028258887876025523,0.018231540565177756
-138,21,-138,-138,39,15,24,25,-144,18,-144,-144,0.02765789693687009,0.03555150410209663,0.02187784867821331,0.022789425706472195
-126,27,-126,-126,30,19,35,19,-132,24,-132,-132,0.02765437787414292,0.027347310847766638,0.03190519598906107,0.01731996353691887
-114,33,-114,-114,50,26,35,34,-120,30,-120,-120,0.03154435416194819,0.04557885141294439,0.03190519598906107,0.03099361896080219
-102,39,-102,-102,38,33,26,36,-108,36,-108,-108,0.03464967717703617,0.03463992707383774,0.023701002734731084,0.032816773017319965
-90,45,-90,-90,51,45,27,42,-96,42,-96,-96,0.04205179787995763,0.04649042844120328,0.024612579762989972,0.03828623518687329
-78,51,-78,-78,25,50,40,30,-84,48,-84,-84,0.042513265656553535,0.022789425706472195,0.03646308113035551,0.027347310847766638
-66,57,-66,-66,23,53,35,15,-72,54,-72,-72,0.04175817635037979,0.020966271649954422,0.03190519598906107,0.013673655423883319
-54,63,-54,-54,31,56,42,33,-60,60,-60,-60,0.041530216933760085,0.028258887876025523,0.03828623518687329,0.0300820419325433
-42,69,-42,-42,27,68,25,47,-48,66,-48,-48,0.048129819365138805,0.024612579762989972,0.022789425706472195,0.04284412032816773
-30,75,-30,-30,36,62,21,68,-36,72,-36,-36,0.04241358357911697,0.032816773017319965,0.019143117593436645,0.06198723792160438
-18,81,-18,-18,44,69,53,48,-24,78,-24,-24,0.04616217046455512,0.040109389243391066,0.04831358249772106,0.04375569735642662
-6,87,-6,-6,47,62,58,34,-12,84,-12,-12,0.041024598551060804,0.04284412032816773,0.0528714676390155,0.03099361896080219
6,93,6,6,48,60,40,58,0,90,0,0,0.03970122440425239,0.04375569735642662,0.03646308113035551,0.0528714676390155
18,99,18,18,44,73,35,22,12,96,12,12,0.04883823831757281,0.040109389243391066,0.03190519598906107,0.020054694621695533
30,105,30,30,25,68,38,32,24,102,24,24,0.04651812392548312,0.022789425706472195,0.03463992707383774,0.02917046490428441
42,111,42,42,36,68,35,32,36,108,36,36,0.048129819365138805,0.032816773017319965,0.03190519598906107,0.02917046490428441
54,117,54,54,31,49,42,23,48,114,48,48,0.03633893981704007,0.028258887876025523,0.03828623518687329,0.020966271649954422
66,123,66,66,52,31,32,35,60,120,60,60,0.024424593714373083,0.04740200546946217,0.02917046490428441,0.03190519598906107
78,129,78,78,32,42,23,32,72,126,72,72,0.03571114315150496,0.02917046490428441,0.020966271649954422,0.02917046490428441
90,135,90,90,45,24,41,40,84,132,84,84,0.0224276255359774,0.04102096627164995,0.037374658158614404,0.03646308113035551
102,141,102,102,23,25,27,36,96,138,96,96,0.026249755437148595,0.020966271649954422,0.024612579762989972,0.032816773017319965
114,147,114,114,30,23,43,28,108,144,108,108,0.027904620989415718,0.027347310847766638,0.03919781221513218,0.02552415679124886
126,153,126,126,26,19,53,46,120,150,120,120,0.027654377874142908,0.023701002734731084,0.04831358249772106,0.041932543299908843
138,159,138,138,26,21,29,53,132,156,132,132,0.03872105571161813,0.023701002734731084,0.02643573381950775,0.04831358249772106
150,165,150,150,38,15,37,60,144,162,144,144,0.03829588278588711,0.03463992707383774,0.03372835004557885,0.054694621695533276
162,171,162,162,52,8,41,43,156,168,156,156,0.03379205492072722,0.04740200546946217,0.037374658158614404,0.03919781221513218
174,177,174,174,40,0,55,31,168,174,168,168,0.0,0.03646308113035551,0.05013673655423884,0.028258887876025523
