,x,y,z,mass,size_x,size_y,size_z,ecc,signal,raw_mass,ep_x,ep_y,ep_z,frame
846,400.6458785210118,158.85959477987103,58.17360773588875,137851.0,4.644415392421769,4.952204255756862,7.25786270746212,,115.0,137851.0,,,,0
847,359.6486543045876,160.5998762578931,60.20511164085673,109906.0,5.074314440665421,4.750457665717517,6.332529645037235,,113.0,109906.0,,,,0
848,125.16927708081842,175.11176138013232,58.4840319056278,130886.0,4.90362787849311,4.935825809241442,6.997233141818986,,110.0,130886.0,,,,0
849,317.03921646299193,181.11687694349263,59.57222365267682,100978.0,4.874155588345521,4.665070100540811,6.871063339711601,,102.0,100978.0,,,,0
850,132.30226838937014,189.38127049380904,58.59168991337542,81732.0,5.229988042330384,4.394725285637411,6.405737682781573,,91.0,81732.0,,,,0
851,179.7524947521395,197.0618682383336,59.543993218149524,123860.0,5.092285747293117,4.480840854689812,7.071368665527965,,115.0,123860.0,,,,0
852,94.33443868465831,208.73099600332398,58.04380515215068,126355.0,5.081054854668675,4.653022596864288,6.980144482725483,,115.0,126355.0,,,,0
853,138.170023701084,243.71670889273588,57.89814477721724,134593.0,5.092461237666295,4.863817495736326,6.751369938013538,,114.0,134593.0,,,,0
854,8.979045758530708,30.775463788161815,58.80075289823041,140258.0,5.125828349783343,4.741156827971272,6.718523568566196,,119.0,140258.0,,,,0
855,54.80486585569072,32.87880591330016,59.080645289277186,126021.0,5.018263594619406,5.026875659529924,6.478082537306411,,110.0,126021.0,,,,0
856,80.94613803674656,44.033509069788224,59.077967872534934,145483.0,4.969905237597837,4.956903412853754,6.881835303323641,,119.0,145483.0,,,,0
857,414.80511648266133,69.97127247377722,57.646726002302096,61683.0,5.128754181031016,4.2161343806045135,6.320389819039446,,80.0,61683.0,,,,0
858,429.1499933636594,78.20782605547981,60.34989200863931,82877.0,4.497840660209181,4.517342732875785,6.93920829069703,,93.0,82877.0,,,,0
859,6.863692039843154,78.90256453712763,58.973106641296056,129809.0,4.839828328332856,4.961409210511001,6.669731684293795,,122.0,129809.0,,,,0
860,258.36045658475564,82.05532902729165,59.422052225790544,83139.0,4.708689896945043,4.892965427027114,6.540456964944238,,91.0,83139.0,,,,0
861,356.10660758395085,93.04056512450765,56.8060367848321,119832.0,4.984044741249408,4.557631600747408,6.7484578502573,,110.0,119832.0,,,,0
862,225.16903803734698,95.44920776574787,61.350755190355116,118778.0,4.71240799762025,4.992516584091508,6.918477332202851,,110.0,118778.0,,,,0
863,148.68776269617862,101.81377009987276,59.0195407395982,103732.0,4.734295732929995,4.8593668505531,7.04171908401607,,99.0,103732.0,,,,0
864,474.32716023151255,118.89341413042554,59.48632087097679,117661.0,5.063159111044035,4.698426075602428,6.72675311490729,,115.0,117661.0,,,,0
865,458.34526671222415,121.01339389797805,59.256011576958635,124385.0,5.156428285461019,4.571554618422025,6.851596479774811,,116.0,124385.0,,,,0
866,14.312021471959316,156.18318971606158,59.09648961717757,141580.0,4.665776793784654,4.467811135997319,7.73723401640457,,128.0,141580.0,,,,0
867,38.85929301174128,165.07072573483904,60.355826239830655,111487.0,4.5580236084858,4.8519526269280036,6.787705152684949,,116.0,111487.0,,,,0
868,451.47404770380916,167.97109291562833,56.895336418654324,84270.0,4.5460736171842475,4.65608999948494,6.6069318593281725,,99.0,84270.0,,,,0
869,106.0081077500552,177.948518436741,57.828173989843236,113225.0,5.201282176283451,4.573859891096165,6.553831980095035,,104.0,113225.0,,,,0
870,504.58015340548644,201.18945962052328,57.809896384013534,104038.0,5.222948061306412,4.653016266054924,6.5230059692147515,,107.0,104038.0,,,,0
871,218.15501106006465,234.3509293457046,58.75917084546938,99909.0,4.974465622606085,4.21393273302522,7.073248056065686,,105.0,99909.0,,,,0
872,235.29339406300528,234.24405296585542,60.195124013230895,94627.0,4.849811946562626,4.29595132380863,6.65870241235243,,108.0,94627.0,,,,0
873,169.08791523738725,237.21670711937878,59.14018432106616,111653.0,5.148127795330045,4.289255686844636,6.941221752094433,,114.0,111653.0,,,,0
874,190.3750589703398,242.9677070810062,57.85247523245727,131422.0,4.9605488086157274,4.958944837817952,6.536463723377556,,117.0,131422.0,,,,0
875,277.21208163874485,244.26556223026503,58.83566533587055,80403.0,4.760939223850481,4.776509626784825,6.02505557881491,,103.0,80403.0,,,,0
876,396.44818698524904,246.78140557966938,58.80081604553736,119111.0,5.038353959414297,4.804973139666533,6.608133462741698,,110.0,119111.0,,,,0
877,18.10342081480355,6.390320069436366,61.065365033062804,111757.0,5.104242764682209,4.8869591551846465,6.292692266884765,,109.0,111757.0,,,,0
878,43.201983617089624,14.320342113716672,60.3636925795053,124520.0,4.800169146553945,4.86740586937285,7.14091055803219,,109.0,124520.0,,,,0
879,492.05777746476394,41.821156605717,60.03521405745173,113591.0,4.802618661343591,4.934927063214167,6.756305628682488,,105.0,113591.0,,,,0
880,327.8640786283909,43.888211226045655,60.491142239724454,91163.0,4.895817959183525,4.973846455016207,6.340683832977709,,96.0,91163.0,,,,0
881,37.15103258375402,49.051698026617714,59.99636683493958,130740.0,4.990845221573182,4.805579879756979,6.680331146829381,,120.0,130740.0,,,,0
882,384.0729567781806,61.76604617089618,59.93064347477632,159711.0,5.219289129599154,4.808614328107958,7.198662720992223,,112.0,159711.0,,,,0
883,308.046510314104,69.86651386512574,60.24722374665074,123908.0,5.036163086307687,4.433745727016511,7.330271099398504,,106.0,123908.0,,,,0
884,90.29113190361845,83.92061197062439,59.97391099419749,157001.0,5.058307421608869,4.69419750541107,7.167675415100532,,126.0,157001.0,,,,0
885,166.78399836671733,108.14805404955803,60.09133528419875,132249.0,4.552297015409637,5.253339632783214,7.167630648338066,,109.0,132249.0,,,,0
886,416.08488877770935,124.32162099753694,60.14489685960591,103936.0,4.906106352420029,4.82815451770115,6.389634752159927,,109.0,103936.0,,,,0
887,282.3831215182409,133.59045978616763,60.207314991542916,128886.0,4.772587783684276,4.986686805469423,7.156965125442908,,109.0,128886.0,,,,0
888,260.97910594210845,136.67249622425518,61.18719998460843,103953.0,4.8105249534278345,4.7409137633270815,6.646080400738653,,107.0,103953.0,,,,0
889,470.5015281838741,141.22669164750522,61.380948325621446,105681.0,4.820783959769563,4.690606400130207,6.957986405187405,,104.0,105681.0,,,,0
