z,y,x,rad,frame,xum,yum,zum,particle,drad,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um
1.18268845339,32.0496580654,124.351113362,7.3343032478,0.0,15.792591397,4.0703065743,0.141922614407,0.0,0.04511092614,-0.0587202434,0.0300029818,-0.03735183734,0.0757852601402,-0.0307500638266,0.00118420491573,-0.0283827262383,0.0418634436632,0.0569289477762,0.0483955423495,2.0
0.871423142221,32.2859020165,123.888749241,7.37941417394,1.0,15.7338711536,4.1003095561,0.104570777067,0.0,0.11757611407,0.1464926252,0.03908070998,-0.0242963480218,0.153550329396,0.0336701703257,0.0120709954808,-0.0236730889148,0.0428929416154,0.0570201261792,0.0432400488997,2.0
0.668953575377,32.5936241423,125.042234479,7.49699028801,2.0,15.8803637788,4.13939026608,0.0802744290452,0.0,-0.00873363663,0.1566667198,-0.03287643041,-0.0014457183312,0.160085636054,-0.00846365980115,-0.0495933784416,0.000418995080743,0.0503121484272,0.0339791600135,0.0503311714941,2.0
0.656905922617,32.3347546115,126.275830697,7.48825665138,3.0,16.0370304986,4.10651383567,0.078828710714,0.0,,,,,,,,,,,,2.0
0.657383075775,68.998617876,89.3882344932,7.64543129033,0.0,11.3523057806,8.76282447025,0.078885969093,1.0,-0.00608840509,0.015649522,0.00436896084,0.0023634890883,0.0164189353589,0.0436197015734,-0.0244498160443,0.01133260019,0.0512727968519,0.0439016202986,0.0500605428518,3.0
0.677078818177,69.0330191424,89.5114590754,7.63934288524,1.0,11.3679553026,8.76719343109,0.0812494581813,1.0,0.01150070161,0.0932905169,-0.034413257,0.0133587620648,0.100328706384,-0.0195319379743,-0.0614229714992,0.0139820211718,0.0659528236308,0.0417639244119,0.0658235106382,3.0
0.788401835384,68.7620486149,90.2460300751,7.65084358685,2.0,11.4612458195,8.73278017409,0.0946082202461,1.0,0.09304839203,0.1518288653,0.08840129019,-0.046888557209,0.181838745164,-0.0133015143011,0.0716843421584,-0.0450238437971,0.0856896825974,0.100946793843,0.0866839777037,3.0
0.397663858642,69.458121766,91.4415329512,7.74389197888,3.0,11.6130746848,8.82118146428,0.0477196630371,1.0,,,,,,,,,,,,3.0
15.4609260146,40.6043103917,56.2094119942,7.79697295718,0.0,7.13859532327,5.15674741974,1.85531112176,2.0,-0.04049397189,-0.02315481683,0.03033447732,-0.00852144386,0.0391016759509,0.00481536274336,0.00151570043573,0.000447667241662,0.00506808367337,0.0318744919659,0.00990454802705,5.0
15.3899139825,40.8431645438,56.0270906019,7.75647898529,1.0,7.11544050644,5.18708189706,1.8467896779,2.0,0.03599274743,0.0770444333,0.02281838171,0.02032967582,0.0828843710559,-0.0357780215743,-0.00419133278924,0.020952934927,0.0416732477781,0.047053598062,0.0413633874008,5.0
15.5593279477,41.0228368407,56.633739683,7.79247173272,2.0,7.19248493974,5.20990027877,1.86711935372,2.0,0.00313785813,0.16239133446,0.03044421162,0.02976180438,0.167879601289,-0.00273904514115,0.0137272635884,0.0316265177919,0.0345857884333,0.0426628338182,0.0328892860042,5.0
15.8073429841,41.2625550424,57.9124116078,7.79560959085,3.0,7.3548762742,5.24034449039,1.8968811581,2.0,,,,,,,,,,,,5.0
12.1734742894,6.28114100868,43.8040476284,7.85895835901,0.0,5.56311404881,0.797704908103,1.46081691473,3.0,-0.06000236829,-0.03371800754,0.026979949661,-0.01951081386,0.0473866391893,-0.00574782796664,-0.00183882722327,-0.0105417027583,0.0121468641606,0.0337879722316,0.0204227977851,4.0
12.0108841739,6.4935815572,43.5385515061,7.79895599072,1.0,5.52939604127,0.824684857764,1.44130610087,3.0,0.10984042958,0.11922377192,0.063642231679,-0.08518950423,0.159755729396,0.00640131704566,0.0366325171798,-0.084566245123,0.0923816431389,0.106529630357,0.0929525137142,4.0
11.3009716387,6.99470149168,44.4773213637,7.9087964203,2.0,5.64861981319,0.888327089443,1.35611659664,3.0,0.01800345412,0.12255671042,0.029983071845,-0.0710383222,0.144794941511,-0.0425736691811,0.0132661238134,-0.0691736087881,0.0823012484798,0.0880791980311,0.0838746121873,4.0
10.7089856203,7.23078867156,45.4423348315,7.92679987442,3.0,5.77117652361,0.918310161288,1.28507827444,3.0,,,,,,,,,,,,4.0
2.54723898947,44.1254641147,49.0455012231,6.91345087617,0.0,6.22877865534,5.60393394257,0.305668678737,4.0,0.03800814656,-0.06125579722,0.06700148311,-0.004757203497,0.090907108727,-0.0332856176466,0.0381827062257,0.00421190760466,0.0508290425102,0.0749650723082,0.0508771302448,4.0
2.507595627,44.6530348479,48.5631721112,6.95145902273,1.0,6.16752285812,5.67093542568,0.30091147524,4.0,-0.02323115435,0.08774740991,0.01360965623,0.023786061047,0.0919271852541,-0.0250750449643,-0.0134000582692,0.024409320154,0.0374717807418,0.037145084773,0.0370688028093,4.0
2.70581280239,44.7601974954,49.2540965986,6.92822786838,2.0,6.25527026803,5.68454508191,0.324697536287,4.0,0.01975864108,0.1747827291,0.00811520013,0.040937989843,0.179696349093,0.00965234949885,-0.00860174790159,0.0428027032549,0.0447127422973,0.0428362385882,0.0429310718501,4.0
3.04696271775,44.824096709,50.6303385601,6.94798650946,3.0,6.43005299713,5.69266028204,0.36563552613,4.0,,,,,,,,,,,,4.0
17.073798664,1.5464787449,65.0783742159,8.06846977269,0.0,8.26495352542,0.196402800602,2.04885583968,5.0,-0.06904241945,-0.00789161383,0.017457735005,-0.0243095833,0.0309516707233,0.0200785657434,-0.0113610418793,-0.0153404721983,0.0277047317648,0.036039938319,0.0335138466177,0.0
16.8712188032,1.68394122525,65.0162355244,7.99942735324,1.0,8.25706191159,0.213860535607,2.02454625638,5.0,-0.0585668907,0.08727384954,0.098629031845,-0.00169757403,0.131709120769,-0.0255486053343,0.0716193173458,-0.00107431492301,0.0760474325941,0.101898473565,0.0760587904794,1.0
16.8570723529,2.46054777521,65.70343119,7.94086046254,2.0,8.34433576113,0.312489567452,2.02284868235,5.0,0.05889111206,0.07557759015,-0.016975980305,-0.03149067332,0.0836170948212,-0.0895527894511,-0.0336929283366,-0.0296259599081,0.100162932359,0.096434166725,0.100730223987,2.0
16.5946500752,2.32687863895,66.298530325,7.9997515746,3.0,8.41991335128,0.295513587147,1.99135800903,5.0,,,,,,,,,,,,2.0
2.02213298896,47.1427725192,35.8314577119,7.90209113779,0.0,4.55059512941,5.98713210994,0.242655958675,6.0,0.02055203684,-0.05744192811,0.0412491835,0.019848991244,0.0734510224423,-0.0294717485366,0.0124304066157,0.0288181023457,0.0430532460245,0.0544431956688,0.0376441419592,5.0
2.18754124932,47.4675692397,35.3791590653,7.92264317463,1.0,4.4931532013,6.02838129344,0.262504949919,6.0,0.02594492493,0.08822008383,0.02558905949,0.005646206429,0.092029684361,-0.0246023710443,-0.00142065500924,0.00626946553599,0.025428352675,0.0359437932559,0.0252819019992,5.0
2.23459296957,47.6690578971,36.0738053947,7.94858809956,2.0,4.58137328513,6.05397035293,0.268151156348,6.0,0.0014762809,0.16406508856,0.000217235200001,0.042916814619,0.169585534325,-0.00106529104115,-0.0164997128316,0.0447815280309,0.0477363658159,0.0429305836575,0.045991611687,5.0
2.59223309139,47.6707684105,37.3656564857,7.95006438046,3.0,4.74543837369,6.05418758813,0.311067970967,6.0,,,,,,,,,,,,5.0
8.7137635017,41.3611885881,79.3307778718,7.66942890246,0.0,10.0750087897,5.25287095069,1.0456516202,7.0,-0.02178659335,-0.026347903,0.01667033387,-0.056411608456,0.0644544924146,0.00162227657336,-0.0121484430143,-0.0474424973543,0.049000071471,0.0588455723161,0.0577276884826,6.0
8.24366676454,41.4924510595,79.1233140683,7.64764230911,1.0,10.0486608867,5.26954128456,0.989240011744,7.0,0.01447217134,0.1244390736,0.02204798251,0.038690286386,0.132167071662,0.0116166187257,-0.00496173198924,0.039313545493,0.0412930923301,0.0460217081822,0.0407001581764,6.0
8.56608581778,41.6660572211,80.103149294,7.66211448045,2.0,10.1730999603,5.29158926707,1.02793029813,7.0,-0.0275110981,0.1142034507,0.01376455729,0.018027898,0.116434085626,-0.0509269289011,-0.00295239074159,0.0198926114119,0.0547538554549,0.0557496209045,0.05410428638,6.0
8.7163183011,41.7744395619,81.0023890631,7.63460338235,3.0,10.287303411,5.30535382436,1.04595819613,7.0,,,,,,,,,,,,6.0
6.08002710362,31.2360304139,23.9357433363,6.71606736867,0.0,3.03983940371,3.96697586257,0.729603252435,8.0,0.10427966208,-0.02007446465,0.02945767472,-0.016677796161,0.0393559095395,0.00789571492336,0.000638897835725,-0.00770868505934,0.0110532497456,0.0347598302477,0.0184634609265,3.0
5.94104546895,31.4679806086,23.7776766855,6.82034703075,1.0,3.01976493906,3.99643353729,0.712925456274,8.0,0.0477396336,0.08545451146,0.01515391397,-0.008709060746,0.0872236342774,-0.0273679434143,-0.0118558005292,-0.00808580163901,0.0309021766396,0.032472960666,0.0310710809596,3.0
5.86846996273,31.5873027658,24.4505468545,6.86808666435,2.0,3.10521945052,4.01158745126,0.704216395528,8.0,0.01769115071,0.17530363306,-0.00766771857,0.04566123445,0.181314935964,0.0101732534589,-0.0243846666016,0.0475259478619,0.0543766748835,0.0474050348118,0.0527546716671,3.0
6.24898024982,31.5269270291,25.8308904219,6.88577781506,3.0,3.28052308358,4.00391973269,0.749877629978,8.0,,,,,,,,,,,,4.0
