z,y,x,rad,frame,xum,yum,zum,particle
2.65156150687,96.0269101412,82.3908935811,6.97027470166,0.0,10.4636434848,12.1954175879,0.318187380824,0.0
2.65537699403,95.9213857941,81.6578800026,6.89534460989,1.0,10.3705507603,12.1820159958,0.318645239283,0.0
2.43052084244,96.5735500621,80.5540161833,6.80284897035,2.0,10.2303600553,12.2648408579,0.291662501093,0.0
1.78627714834,97.4213937992,81.4210235342,6.68892282253,3.0,10.3404699888,12.3725170125,0.214353257801,0.0
24.0572652688,1.24588795861,112.885348738,7.22630852763,0.0,14.3364392897,0.158227770744,2.88687183226,1.0
24.1582325441,1.23897432121,112.088164099,7.23257926094,1.0,14.2351968406,0.157349738794,2.89898790529,1.0
23.4137007656,1.37260153983,112.14223613,7.27709467871,2.0,14.2420639885,0.174320395559,2.80964409187,1.0
22.9931066158,1.79452969324,111.436400203,7.37754938113,3.0,14.1524228258,0.227905271041,2.75917279389,1.0
13.2012732509,124.840429927,3.34277206964,7.28583381856,0.0,0.424532052845,15.8547346007,1.58415279011,2.0
12.9138054905,124.679619238,3.76388560385,7.2482771798,1.0,0.478013471689,15.8343116432,1.54965665886,2.0
12.9084511962,124.639198485,3.72901774377,7.26270442012,2.0,0.473585253459,15.8291782076,1.54901414354,2.0
12.1908480515,124.419187182,3.71785956923,7.27975685139,3.0,0.472168165292,15.8012367722,1.46290176618,2.0
6.96718491747,88.4331060099,85.6293874288,6.65350811947,0.0,10.8749322035,11.2310044633,0.836062190097,3.0
7.02262350355,88.3361989233,84.80749074,6.70640544317,1.0,10.770551324,11.2186972633,0.842714820426,3.0
8.00317145968,89.6500107595,83.1115111707,6.87927639233,2.0,10.5551619187,11.3855513665,0.960380575162,3.0
7.95304515806,90.4642370026,83.137275955,7.06900566027,3.0,10.5584340463,11.4889580993,0.954365418967,3.0
13.572984443,91.9128334735,99.6308996255,8.30423612283,0.0,12.6531242524,11.6729298511,1.62875813316,4.0
13.4483325217,92.1132414727,99.6748974986,8.3176558448,1.0,12.6587119823,11.698381667,1.6137999026,4.0
13.4136858488,92.070672274,99.3824624574,8.32509918804,2.0,12.6215727321,11.6929753788,1.60964230185,4.0
13.25555507,91.9521988891,99.5082894795,8.34187139464,3.0,12.6375527639,11.6779292589,1.5906666084,4.0
4.17718914677,115.759295223,92.4254230725,7.50365449708,0.0,11.7380287302,14.7014304933,0.501262697613,5.0
4.20302809154,115.499138052,91.9433678548,7.47847932742,1.0,11.6768077176,14.6683905326,0.504363370985,5.0
2.82294918479,116.061978331,91.3068982292,7.46921092644,2.0,11.5959760751,14.739871248,0.338753902175,5.0
2.77975894932,116.285299676,92.9164029659,7.54902334302,3.0,11.8003831767,14.7682330589,0.333571073918,5.0
16.079312996,112.22918724,119.440556302,9.41797454589,0.0,15.1689506503,14.2531067794,1.92951755952,6.0
15.733145213,111.752374341,119.171392437,9.34168284961,1.0,15.1347668395,14.1925515413,1.88797742556,6.0
15.3924641712,111.463687585,118.743478915,9.31479417451,2.0,15.0804218222,14.1558883233,1.84709570054,6.0
15.3060778149,112.278289423,119.169978848,9.42972226514,3.0,15.1345873137,14.2593427567,1.83672933779,6.0
3.49732833077,22.8822978304,126.254998021,7.14521975686,0.0,16.0343847486,2.90605182446,0.419679399693,7.0
5.50273003679,21.5917513942,125.810261433,7.12030683946,1.0,15.977903202,2.74215242706,0.660327604415,7.0
6.28582696275,20.9529750685,125.84625557,7.19721672357,2.0,15.9824744574,2.66102783369,0.75429923553,7.0
5.63484735887,20.7679953939,125.128842918,7.11080940717,3.0,15.8913630506,2.63753541503,0.676181683064,7.0
1.66005982378,122.855135357,35.6806606935,7.70211409607,0.0,4.53144390808,15.6026021903,0.199207178853,8.0
1.69234973236,122.576551061,35.5256621907,7.69834052708,1.0,4.51175909822,15.5672219848,0.203081967883,8.0
1.70373366717,122.439795891,35.4881662813,7.67291907856,2.0,4.50699711772,15.5498540781,0.204448040061,8.0
0.935355022291,122.496318238,35.7207391421,7.68014656853,3.0,4.53653387105,15.5570324163,0.112242602675,8.0
11.1593351116,66.3468357834,98.4410843406,7.509901419,0.0,12.5020177113,8.4260481445,1.33912021339,9.0
10.9269219512,66.2634971646,98.5622381659,7.51874822283,1.0,12.5174042471,8.4154641399,1.31123063415,9.0
10.9028322815,66.1474144639,98.8700294224,7.50038360497,2.0,12.5564937366,8.40072163691,1.30833987378,9.0
10.0486594134,66.573921043,98.8791860363,7.49629951592,3.0,12.5576566266,8.45488797246,1.20583912961,9.0
2.81048356918,42.630705691,91.8998816975,7.53882321068,0.0,11.6712849756,5.41409962276,0.337258028302,10.0
2.67586887731,42.3928818386,91.9232043628,7.52495309672,1.0,11.6742469541,5.3838959935,0.321104265277,10.0
2.58180196375,42.3617370031,92.3085474332,7.52792824766,2.0,11.723185524,5.3799405994,0.30981623565,10.0
2.3267806292,42.893696995,91.730002792,7.52539614395,3.0,11.6497103546,5.44749951837,0.279213675504,10.0
39.2270418578,22.5889759648,113.892918829,7.29266044923,0.0,14.4644006913,2.86879994753,4.70724502293,11.0
39.731483882,22.4108562468,113.170065504,7.32152286975,1.0,14.372598319,2.84617874334,4.76777806584,11.0
39.4014657428,22.1186110167,113.326892009,7.33435146062,2.0,14.3925152851,2.80906359912,4.72817588914,11.0
38.6834504678,22.6351743561,113.382702983,7.31539522468,3.0,14.3996032788,2.87466714323,4.64201405614,11.0
8.3105502797,70.4980069894,39.0397029343,7.50049884351,0.0,4.95804227265,8.95324688765,0.997266033564,12.0
8.19004361193,70.7683413364,38.9740599576,7.49624932165,1.0,4.94970561462,8.98757934973,0.982805233431,12.0
7.85457390076,70.2332116723,39.8743020597,7.52259141654,2.0,5.06403636158,8.91961788239,0.942548868092,12.0
8.03577462474,70.5447426952,39.1712984258,7.47636771708,3.0,4.97475490008,8.95918232229,0.964292954969,12.0
13.703943569,21.7997773782,74.1390867383,7.35847673012,0.0,9.41566401576,2.76857172703,1.64447322828,13.0
13.0387051266,21.5613270573,73.978827883,7.34342730074,1.0,9.39531114115,2.73828853628,1.56464461519,13.0
12.8039508906,21.4636781176,74.248684861,7.37592479541,2.0,9.42958297734,2.72588712094,1.53647410688,13.0
12.8192383859,22.2088948632,73.6343795714,7.36222307242,3.0,9.35156620557,2.82052964762,1.53830860631,13.0
14.3398984101,99.6014003154,26.2076620517,7.50226818282,0.0,3.32837308057,12.6493778401,1.72078780922,14.0
14.7126525273,99.7450432951,24.6889188725,7.5207352073,1.0,3.13549269681,12.6676204985,1.76551830328,14.0
15.0315590165,100.270887131,25.2433515761,7.5220418508,2.0,3.20590565017,12.7344026657,1.80378708198,14.0
14.6947989523,100.665761527,25.1027303855,7.51790657938,3.0,3.18804675896,12.7845517139,1.76337587428,14.0
27.1813001809,22.9070791503,97.366474366,7.26858978437,0.0,12.3655422445,2.90919905208,3.2617560217,15.0
27.1000365436,22.7074142032,96.8187094066,7.26913413936,1.0,12.2959760946,2.88384160381,3.25200438523,15.0
26.8136509668,22.5847211812,97.0987789995,7.23356993578,2.0,12.3315449329,2.86825959001,3.21763811602,15.0
26.3912819595,23.1612150149,96.8740906258,7.27246145757,3.0,12.3030095095,2.94147430689,3.16695383514,15.0
12.7559226336,78.9842502697,74.6722268509,7.4675184608,0.0,9.48337281006,10.0309997842,1.53071071603,16.0
12.2582549057,78.3411615687,74.4174330095,7.47311409452,1.0,9.45101399221,9.94932751922,1.47099058868,16.0
12.1553104864,77.7793186652,74.4473600704,7.47097641131,2.0,9.45481472894,9.87797347048,1.45863725837,16.0
11.5638989667,78.1830550729,74.5474346318,7.48777599024,3.0,9.46752419824,9.92924799426,1.387667876,16.0
10.5015360418,50.4574850402,112.545345518,7.39693980468,0.0,14.2932588808,6.40810060011,1.26018432502,17.0
