centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,37,4,25,30,-180,0,-180,-180,0.04969517577488607,0.03733602421796166,0.025227043390514632,0.030272452068617558
-162,9,-162,-162,55,4,51,38,-168,6,-168,-168,0.016625777089281254,0.055499495459132187,0.05146316851664985,0.03834510595358224
-150,15,-150,-150,29,16,52,31,-156,12,-156,-156,0.04019556665638141,0.029263370332996974,0.05247225025227043,0.03128153380423814
-138,21,-138,-138,25,6,18,25,-144,18,-144,-144,0.010886204590030202,0.025227043390514632,0.018163471241170535,0.025227043390514632
-126,27,-126,-126,32,27,48,47,-132,24,-132,-132,0.03866975341497362,0.03229061553985873,0.04843592330978809,0.04742684157416751
-114,33,-114,-114,39,21,24,20,-120,30,-120,-120,0.02507061187788793,0.039354187689202826,0.024217961654894045,0.020181634712411706
-102,39,-102,-102,20,55,30,34,-108,36,-108,-108,0.05682576474582364,0.020181634712411706,0.030272452068617558,0.034308779011099896
-90,45,-90,-90,23,44,24,45,-96,42,-96,-96,0.04045964591830239,0.02320887991927346,0.024217961654894045,0.045408678102926335
-78,51,-78,-78,27,25,18,33,-84,48,-84,-84,0.02091663498421078,0.027245206861755803,0.018163471241170535,0.033299697275479316
-66,57,-66,-66,32,39,33,28,-72,54,-72,-72,0.030236227764986516,0.03229061553985873,0.033299697275479316,0.028254288597376387
-54,63,-54,-54,45,19,29,17,-60,60,-60,-60,0.013865231345239258,0.045408678102926335,0.029263370332996974,0.017154389505549948
-42,69,-42,-42,33,58,27,23,-48,66,-48,-48,0.04039528339478389,0.033299697275479316,0.027245206861755803,0.02320887991927346
-30,75,-30,-30,29,57,41,48,-36,72,-36,-36,0.03836944178866621,0.029263370332996974,0.04137235116044399,0.04843592330978809
-18,81,-18,-18,32,66,37,39,-24,78,-24,-24,0.043448862587564106,0.03229061553985873,0.03733602421796166,0.039354187689202826
-6,87,-6,-6,31,52,41,40,-12,84,-12,-12,0.03385737944474815,0.03128153380423814,0.04137235116044399,0.04036326942482341
6,93,6,6,36,59,25,31,0,90,0,0,0.038415103600771945,0.03632694248234107,0.025227043390514632,0.03128153380423814
18,99,18,18,44,57,47,41,12,96,12,12,0.03752401768925991,0.044399596367305755,0.04742684157416751,0.04137235116044399
30,105,30,30,30,67,43,34,24,102,24,24,0.045100922804221684,0.030272452068617558,0.04339051463168517,0.034308779011099896
42,111,42,42,36,65,24,15,36,108,36,36,0.045270576218292294,0.03632694248234107,0.024217961654894045,0.015136226034308779
54,117,54,54,41,29,49,54,48,114,48,48,0.02116272152694413,0.04137235116044399,0.04944500504540868,0.054490413723511606
66,123,66,66,36,54,22,33,60,120,60,60,0.04186554613613517,0.03632694248234107,0.022199798183652877,0.033299697275479316
78,129,78,78,25,17,36,21,72,126,72,72,0.014223311789263327,0.025227043390514632,0.03632694248234107,0.02119071644803229
90,135,90,90,29,30,28,45,84,132,84,84,0.02758612221702435,0.029263370332996974,0.028254288597376387,0.045408678102926335
102,141,102,102,26,43,31,30,96,138,96,96,0.044427416074007554,0.026236125126135216,0.03128153380423814,0.030272452068617558
114,147,114,114,39,30,10,30,108,144,108,108,0.0358151598255542,0.039354187689202826,0.010090817356205853,0.030272452068617558
126,153,126,126,35,15,31,28,120,150,120,120,0.02148319634165201,0.035317860746720484,0.03128153380423814,0.028254288597376387
138,159,138,138,38,8,24,19,132,156,132,132,0.014514939453373604,0.03834510595358224,0.024217961654894045,0.01917255297679112
150,165,150,150,25,12,36,50,144,162,144,144,0.030146674992286026,0.025227043390514632,0.03632694248234107,0.050454086781029264
162,171,162,162,31,8,40,27,156,168,156,156,0.03325155417856249,0.03128153380423814,0.04036326942482341,0.027245206861755803
174,177,174,174,31,4,47,35,168,174,168,168,0.0496951757748861,0.03128153380423814,0.04742684157416751,0.035317860746720484
