z,y,x,frame,xum,yum,zum,particle
1.18268845339,32.0496580654,124.351113362,0.0,15.792591397,4.0703065743,0.141922614407,0.0
0.441189916256,32.2685557404,123.756176111,1.0,15.7170343661,4.09810657903,0.0529427899507,0.0
-0.18506599414,32.3828427874,125.180778881,2.0,15.8979589179,4.11262103399,-0.0222079192968,0.0
0.141910817381,32.2313169925,126.327553118,3.0,16.043599246,4.09337725805,0.0170292980857,0.0
0.657383075775,68.998617876,89.3882344932,0.0,11.3523057806,8.76282447025,0.078885969093,1.0
0.335353270476,69.1086660698,89.5012342898,1.0,11.3666567548,8.77680059087,0.0402423924571,1.0
0.37852190934,68.8005159297,90.2449474606,2.0,11.4611083275,8.73766552308,0.0454226291208,1.0
0.0579650062087,69.4579851716,91.4381691556,3.0,11.6126474828,8.82116411679,0.00695580074505,1.0
15.4609260146,40.6043103917,56.2094119942,0.0,7.13859532327,5.15674741974,1.85531112176,2.0
15.6715966946,40.8923630933,56.0733689043,1.0,7.12131785085,5.19333011285,1.88059160335,2.0
15.3653025843,41.0461125788,56.6278634618,2.0,7.19173865965,5.21285629751,1.84383631012,2.0
15.6431958348,41.2852069284,57.9034596334,3.0,7.35373937344,5.24322127991,1.87718350018,2.0
12.1734742894,6.28114100868,43.8040476284,0.0,5.56311404881,0.797704908103,1.46081691473,3.0
12.1734206737,6.60952943767,43.309418448,1.0,5.50029614289,0.839410238584,1.46081048084,3.0
11.2445815174,7.17555582914,44.3130767655,2.0,5.62776074922,0.9112955903,1.34934978209,3.0
8.71706434889,7.17994825455,44.9778336335,3.0,5.71218487145,0.911853428327,1.04604772187,3.0
2.54723898947,44.1254641147,49.0455012231,0.0,6.22877865534,5.60393394257,0.305668678737,4.0
2.19724220717,44.7063923998,48.4650752142,1.0,6.1550645522,5.67771183478,0.263669064861,4.0
2.52419220065,44.7961621392,49.3046271733,2.0,6.26168765101,5.68911259167,0.302903064078,4.0
2.7530780505,44.8449970868,50.5656595259,3.0,6.42183875979,5.69531463003,0.33036936606,4.0
17.073798664,1.5464787449,65.0783742159,0.0,8.26495352542,0.196402800602,2.04885583968,5.0
17.0870141486,1.76160065706,64.9901500333,1.0,8.25374905423,0.223723283447,2.05044169783,5.0
15.9703436042,2.34813315483,65.9156027884,2.0,8.37128155412,0.298212910664,1.9164412325,5.0
16.3892287647,2.1610785887,66.1440272055,3.0,8.4002914551,0.274456980765,1.96670745176,5.0
2.02213298896,47.1427725192,35.8314577119,0.0,4.55059512941,5.98713210994,0.242655958675,6.0
2.01444045648,47.5865855445,35.4043990671,1.0,4.49635868152,6.04349636415,0.241732854777,6.0
1.9886327996,47.6629428338,36.0681745073,2.0,4.58065816242,6.05319373989,0.238635935952,6.0
2.40355818988,47.6931949524,37.3838312082,3.0,4.74774656345,6.05703575895,0.288426982786,6.0
8.7137635017,41.3611885881,79.3307778718,0.0,10.0750087897,5.25287095069,1.0456516202,7.0
8.29600465079,41.5251282227,79.0905515868,1.0,10.0445000515,5.27369128429,0.995520558094,7.0
8.43299279959,41.6340084224,80.0780077713,2.0,10.169906987,5.28751906965,1.01195913595,7.0
