z,y,x,frame
1.18268845339,32.0496580654,124.351113362,0.0
0.657383075775,68.998617876,89.3882344932,0.0
15.4609260146,40.6043103917,56.2094119942,0.0
12.1734742894,6.28114100868,43.8040476284,0.0
2.54723898947,44.1254641147,49.0455012231,0.0
17.073798664,1.5464787449,65.0783742159,0.0
2.02213298896,47.1427725192,35.8314577119,0.0
8.7137635017,41.3611885881,79.3307778718,0.0
6.08002710362,31.2360304139,23.9357433363,0.0
10.405223737,114.303450152,89.1443460953,0.0
3.61152578283,97.3795533165,53.2610539472,0.0
1.40372082883,72.8670964658,38.9182110328,0.0
22.2432565341,82.9274939807,55.1687897722,0.0
11.5800658902,77.6985312408,55.5728704074,0.0
4.72811816331,2.94001109905,105.673402062,0.0
25.9312012801,27.8935762359,33.7819767034,0.0
15.0068832718,68.0823213925,81.6930096537,0.0
17.4342846593,48.3349908773,25.9544817117,0.0
11.9599649079,22.7417168768,112.947724482,0.0
14.4688182425,17.4607042958,83.9246350195,0.0
21.8399899694,68.831926371,33.9538795838,0.0
6.09955321255,117.905667385,33.5824912732,0.0
8.81888219761,56.5864813346,2.18848397768,0.0
12.0788696835,4.85074240824,94.4340703829,0.0
7.74351710843,22.8697340357,96.2628071085,0.0
19.5429099509,43.117537002,108.117972012,0.0
1.34712543482,101.859572392,26.2627757483,0.0
11.7647412286,4.4729456179,13.0775131117,0.0
42.7444943542,10.4528093329,69.6657054077,0.0
9.61720297479,112.044169267,104.88133743,0.0
10.677854467,114.18270847,58.3185986752,0.0
4.47890838365,55.9187632332,48.6386352656,0.0
15.0579155076,92.4326843158,18.86541379,0.0
17.3389034213,53.8263437994,111.11466602,0.0
11.1699204268,84.2051774852,99.75821612,0.0
25.6592725302,107.131269688,63.9160708736,0.0
21.2406017734,42.7533005088,122.926995107,0.0
25.0621542762,36.6674288892,86.1673550133,0.0
32.2955880235,16.4399443289,91.0736698332,0.0
32.6360188523,60.1982143586,108.499778767,0.0
27.2498313817,66.037612015,66.0546654048,0.0
42.3865329572,41.2358155972,51.1345499914,0.0
3.24984030462,91.1078408837,39.9273953357,0.0
19.5295602871,100.525014985,100.726773767,0.0
5.39730727174,88.2003504994,83.4270061836,0.0
22.2780289347,38.9139321991,71.369658033,0.0
19.8336509401,109.695806364,79.9411970873,0.0
35.4678382511,6.17088381063,112.019959165,0.0
24.9677815458,109.850958904,94.6801720569,0.0
22.3884074496,17.0211779183,103.203665102,0.0
16.0981941477,66.875347926,104.144638836,0.0
25.4400228039,100.775870522,49.3032932029,0.0
49.1746992403,102.780912104,108.906355623,0.0
24.0296719265,22.1424810487,72.094779334,0.0
30.614380936,46.1441570207,55.8318349398,0.0
17.83834583,54.7605778671,71.5109138035,0.0
23.0463809829,82.0333797929,77.1263650149,0.0
11.7043060442,83.0748652058,27.2142783039,0.0
41.043976826,114.130809552,113.278401024,0.0
13.9451112101,17.2122922166,31.7742892061,0.0
18.3784637628,120.301351353,43.0344442914,0.0
39.2611778585,100.353266996,42.8410004213,0.0
26.3619343598,109.404176662,34.5566233532,0.0
25.157145635,123.560552799,76.5133083369,0.0
30.5465845017,88.9756270043,101.843160108,0.0
13.1424270138,98.3125663672,68.5166231166,0.0
22.7647833476,77.2450878518,91.6800584179,0.0
18.0783911017,47.3749290705,11.3898044986,0.0
37.0647952239,85.9102695166,71.3526062355,0.0
33.9605925079,67.3182849113,96.0713056623,0.0
6.02372624022,119.657062317,119.688370182,0.0
11.4780675366,71.5539494415,12.57267384,0.0
30.5133951656,94.1072167433,14.3153915177,0.0
44.4131017322,63.1803593529,49.4180742643,0.0
19.688353417,2.56215715531,28.5636425754,0.0
35.1321951118,14.2241593935,22.2931083258,0.0
40.810531275,39.0864841838,118.506892147,0.0
34.6184281681,50.2724068875,22.2386860063,0.0
11.4172970034,112.300558182,18.8141649362,0.0
25.7215564589,103.6420228,114.107518215,0.0
45.5300849613,57.6673131174,92.1793686684,0.0
37.3927388431,1.08502768951,95.8811478184,0.0
31.1593922076,74.8733861483,45.274302501,0.0
8.97613599452,88.3273229071,66.4236537831,0.0
25.1221247302,31.4448273919,100.200155017,0.0
21.3536766326,80.4024278076,4.56799433619,0.0
17.9837450957,90.239233492,111.912294224,0.0
18.5384131454,33.3024989081,5.89159605362,0.0
40.5263936769,46.9363921356,82.0800115146,0.0
38.0415090661,57.3211414491,122.341428602,0.0
26.2898762815,77.0832056742,110.243112615,0.0
38.6855855073,60.4523742024,75.698291893,0.0
24.2201904835,106.055685082,8.81622427058,0.0
41.6667438704,85.9316449252,35.4921340633,0.0
29.7849262324,120.256799127,11.9327506773,0.0
4.20281802623,24.6098521248,4.66295965939,0.0
46.4056028116,102.47399231,14.0157785174,0.0
47.2603272803,15.1350116641,110.755614208,0.0
44.8350263261,122.058606508,95.5745791622,0.0
31.4315559141,65.8855557945,13.9123569984,0.0
44.6950417194,95.0231096902,98.7980822344,0.0
38.3455618666,87.3057782346,85.9936940647,0.0
41.0532833727,125.497901935,72.0882455717,0.0
28.5895971232,116.362118192,124.996444844,0.0
43.1181960711,79.3871509159,98.2301456394,0.0
43.4096282557,118.551585252,52.4520377467,0.0
45.8599726956,60.8523253485,20.7139178487,0.0
37.2334417595,10.0898271068,9.14869740069,0.0
39.7031204461,26.7096464256,10.9864364885,0.0
44.7432468944,19.7975786172,2.2671682205,0.0
44.3018111075,73.1617651515,11.3317975717,0.0
45.4707746498,102.958140275,85.826192929,0.0
2.72931872869,47.8384907105,99.2938770802,0.0
6.8931691957,76.4261060135,113.06969911,0.0
17.4199948677,13.1293379362,125.479947955,0.0
39.8795182691,99.4383186643,127.260328482,0.0
30.4490025905,33.7545991194,59.0992203156,0.0
35.042435386,86.8405741086,2.49282396769,0.0
34.6146718291,51.945913598,6.48746301155,0.0
1.29997691114,101.955650913,11.7133966322,0.0
19.3565831922,69.9740235701,126.428733253,0.0
37.401864468,64.1975097745,34.3371711924,0.0
10.6616957727,117.879138962,0.674984501037,0.0
27.9486877722,125.954031419,112.562656505,0.0
40.0294895386,25.7248984292,37.439891135,0.0
10.7894118985,99.4834217451,86.3383975737,0.0
26.6714514476,31.7794229112,127.643681907,0.0
4.38351948731,33.6423969403,96.2165366073,0.0
46.3749395553,24.1971312263,126.488369276,0.0
46.9066176739,61.4346955492,105.587535521,0.0
3.55811347568,123.986224334,12.0291164646,0.0
47.068165043,42.5182509265,68.0680566897,0.0
45.5999709519,103.714625459,53.5374337816,0.0
17.6863314688,87.972668358,127.762660347,0.0
41.600335668,69.1393888567,63.709386918,0.0
