z,y,x,rad,frame
15.6005609412,83.6510559624,80.5889565593,7.48028571066,0.0
0.49731092833,61.1668417106,100.943455341,7.36594448886,0.0
3.02347572438,114.844601981,11.8878597438,7.53104831619,0.0
1.52765371523,29.6446812835,94.9436050498,7.33587494853,0.0
12.8427899157,86.0513700165,5.82905618744,7.62614617683,0.0
5.27519529553,37.5150934809,73.8816181313,7.28242266679,0.0
2.43347514486,53.1359183538,6.81415648416,7.48781229367,0.0
12.0640065274,78.9306938976,101.531602472,7.38573507347,0.0
18.7837452861,98.0043253619,118.722179299,9.67839533264,0.0
9.72610313984,28.0875873793,22.1392578703,9.80290887276,0.0
8.73988851197,110.715462256,71.6613025949,7.39947521523,0.0
11.9516546129,24.7341737802,72.4597481348,7.43714053972,0.0
17.6752673128,9.69302793284,78.6503197039,7.72074243668,0.0
33.1123199783,10.6604229247,79.1335867686,7.54045201818,0.0
3.53598813848,29.6896690156,111.719417228,7.3707113878,0.0
11.6774365044,96.1459066455,48.3005284992,7.68023500946,0.0
13.0865271624,64.4172502167,34.5387398064,7.75900491694,0.0
9.47848036335,99.5848045998,12.02808388,7.76547210676,0.0
25.6171598376,50.6352079216,107.183247514,7.28700812557,0.0
13.927157718,41.6912292968,111.42396611,7.8216769978,0.0
7.53099592747,121.345836881,40.404394349,6.793395547,0.0
24.0884400913,21.3999317598,80.6468296607,7.26479968097,0.0
10.04269919,123.326502442,50.0357345227,6.72456814752,0.0
11.0654060389,34.2565177813,38.1656135303,7.51506009403,0.0
23.5761693288,112.648526567,5.18463904824,7.65289053451,0.0
10.4957013499,96.4711124795,34.7046363403,7.42128762679,0.0
5.17603965969,53.8792589058,113.546137601,7.27448772185,0.0
8.76074803795,16.0048634931,108.50136586,7.46564157761,0.0
19.58712783,66.9775004773,72.7919312983,7.62331315891,0.0
22.9718643116,63.9575592098,124.830086781,7.33600226108,0.0
10.9269401417,61.2386262795,62.3961713,7.45757124244,0.0
7.14321480984,59.8579503283,48.3339924651,7.23862206999,0.0
9.18792312318,111.468389545,33.133145523,7.47007227403,0.0
17.9098384696,66.4590992127,87.3386157545,7.44134002581,0.0
32.8099655169,19.2257160365,26.5357903016,7.28729773521,0.0
23.9766845779,45.7426903414,31.3177908686,7.55467634869,0.0
25.1831821277,100.385646945,41.830609043,7.43978548883,0.0
16.6017138156,116.216031614,84.3297426318,7.48875652638,0.0
17.7115430927,33.1719068538,57.9757556373,7.919559319,0.0
16.3860010662,29.5551738398,102.845754869,7.65088893771,0.0
12.8679062044,22.1108898645,47.6117240012,7.54810699648,0.0
16.9624455128,101.59094695,101.305278915,7.52102849048,0.0
22.9368626958,108.278719058,64.7685078653,7.58542653334,0.0
18.1541672379,48.6415955289,58.8478895949,7.90462764013,0.0
1.34021110711,90.8137035477,116.106883985,7.40302265592,0.0
33.0861161875,5.69148558798,101.530892154,7.16910380379,0.0
16.6912997161,53.0124945343,20.4928080833,7.72042494609,0.0
15.6270900606,71.4465797639,47.447479251,7.55340283856,0.0
14.7353343493,124.537355353,71.5881675205,7.96889549862,0.0
25.7750797945,118.913835018,104.102095098,7.12070026064,0.0
27.5305179104,66.2787826684,39.146336206,7.27264746437,0.0
32.7145776018,118.763142973,71.2830253415,7.62677800721,0.0
35.6910751274,40.899155741,48.0160918882,8.68273147954,0.0
16.8502850481,3.35645970569,113.111381129,7.51882337957,0.0
25.0375800668,114.895190221,37.0474420994,7.34448291977,0.0
45.350679158,5.97229909085,102.839745054,7.52096025363,0.0
17.9938048211,97.1758730329,62.8336730923,7.53849515521,0.0
18.5664014816,86.7762384689,21.4998959748,7.72753247321,0.0
34.4377824737,123.776151007,122.206243701,7.62023143815,0.0
17.2314047894,18.8828276114,119.143158701,7.22090517213,0.0
20.2828213593,121.745669884,24.2905973178,7.66089165925,0.0
16.9849013459,6.62171873665,41.3449490076,8.10816065784,0.0
21.2357147164,10.0381037487,55.2581086858,7.6939390659,0.0
30.4142465618,76.489063714,23.5955535619,7.40400823295,0.0
20.3095229454,30.5083922967,120.015968679,7.49504914219,0.0
17.1969423787,75.8801385478,60.2816627069,7.70765849848,0.0
17.6642761298,7.84758477716,98.9941867233,7.59258075624,0.0
