z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um
15.6005609412,83.6510559624,80.5889565593,7.48028571066,0.0,10.234797483,10.6236841072,1.87206731294,0.0,-0.0016023209,-0.0069847697,0.00565454748,0.00912843618766,0.0038615107699,0.00468178682495,0.0237609612979,0.0245237369726,0.00978121569089,0.00829483577317,6.0
15.6476821701,83.5960577753,80.576339859,7.44744820414,1.0,10.2331951621,10.6166993375,1.87772186042,0.0,-0.0298093322,0.0150196279,-0.01842931034,0.0381290570048,0.013494088956,-0.00397491604123,-0.00395295447758,0.014612195023,0.0273371384497,0.0231846905068,6.0
15.494104584,83.7143225621,80.3416207077,7.42002783868,2.0,10.2033858299,10.6317189654,1.85929255008,0.0,-0.0854390153,-0.0010365771,-0.02424854111,0.0888194324091,-0.0407644882197,0.0179058850842,0.000143803153573,0.0445239811766,0.0474426995213,0.0506986781527,6.0
15.2920334081,83.7061605375,79.6688725561,7.40174445225,3.0,10.1179468146,10.6306823883,1.83504400897,0.0,,,,,,,,,,,6.0
0.49731092833,61.1668417106,100.943455341,7.36594448886,0.0,12.8198188283,7.76818889724,0.0596773113997,1.0,-0.0385167259,-0.04640218314,-0.0161424347357,0.0624281905345,-0.0330528942301,-0.0347356266151,0.00196397908222,0.0479886943682,0.0592134665118,0.0505928430959,3.0
0.362790638867,60.8014701897,100.640174035,7.34082862759,1.0,12.7813021024,7.7217867141,0.043534876664,1.0,0.0009737073,0.00342132422,0.0110058218793,0.0115664030953,0.044277128456,-0.0155732197212,0.0254821777417,0.0534072154232,0.0457525701898,0.048209100718,3.0
0.454505821194,60.8284097506,100.647841021,7.31920116696,2.0,12.7822758097,7.72520803832,0.0545406985433,1.0,-0.0846671639,0.0074281151,-0.034413966003,0.0916952920976,-0.0399926368197,0.0263705772842,-0.0100216217394,0.0489413041141,0.0532814127984,0.0589842301141,3.0
0.167722771169,60.8868988458,99.981170439,7.30164208298,3.0,12.6976086458,7.73263615342,0.0201267325403,1.0,,,,,,,,,,,3.0
3.02347572438,114.844601981,11.8878597438,7.53104831619,0.0,1.50975818746,14.5852644515,0.362817086926,2.0,-0.12800019879,0.1044414932,0.043561376017,0.170849845984,-0.12253636712,0.116108049725,0.0616677898349,0.179719661643,0.166795624191,0.174338274508,4.0
3.38648719119,115.666975943,10.8799841628,7.56573663847,1.0,1.38175798867,14.6897059447,0.406378462943,2.0,-0.10405861442,0.1064295336,-0.027041905276,0.151283526857,-0.060755193264,0.0874349896588,-0.0125655494136,0.107209906059,0.125497823773,0.109851424962,4.0
3.16113798055,116.505003767,10.0606249941,7.50696249558,2.0,1.27769937425,14.7961354783,0.379336557667,2.0,-0.15262914093,0.1171045545,0.271920737934,0.333091607616,-0.10795461385,0.136047016684,0.296313082198,0.343459505738,0.315132611855,0.322651324372,4.0
5.42714413001,117.427086873,8.85882073481,7.51321362095,3.0,1.12507023332,14.9132400328,0.651257295601,2.0,,,,,,,,,,,5.0
1.52765371523,29.6446812835,94.9436050498,7.33587494853,0.0,12.0578378413,3.76487452301,0.183318445828,3.0,-0.0133311976,0.02637412176,-0.0841580008866,0.0891957635838,-0.0078673659301,0.0380406782849,-0.0660515870687,0.0766276764971,0.0885441068537,0.0926906562944,5.0
0.826337041178,29.8523515336,94.8386349897,7.3162649367,1.0,12.0445066437,3.79124864477,0.0991604449414,3.0,-0.0854356231,0.07848751126,-0.0646260695969,0.132800843332,-0.042132201944,0.0594929673188,-0.0501497137345,0.0884846279796,0.110054262689,0.0974220943759,5.0
0.287786461204,30.4703634333,94.1659135481,7.31075772679,2.0,11.9590710206,3.86973615603,0.0345343753445,3.0,-0.0210711439,-0.01069650868,-0.0302064483435,0.0383515048561,0.0236033831803,0.0082459535042,-0.00581410407993,0.0256694225295,0.0397990517101,0.0392115412637,5.0
0.0360660583413,30.3861389555,93.9999990288,7.40959019453,3.0,11.9379998767,3.85903964735,0.00432792700096,3.0,,,,,,,,,,,6.0
12.8427899157,86.0513700165,5.82905618744,7.62614617683,0.0,0.740290135805,10.9285239921,1.54113478989,4.0,-0.006013422629,-0.0091383096,-0.04258656784,0.0439691450275,-0.000549590959101,0.00252824692495,-0.0244801540221,0.0246164990135,0.0435594595118,0.0426650892783,6.0
12.4879018504,85.9794148226,5.78170640296,7.62097770901,1.0,0.734276713176,10.9193856825,1.49854822205,4.0,0.066038513737,0.1221932359,0.05628132411,0.14986613907,0.109341934893,0.103198691959,0.0707576799724,0.166169425657,0.17336214428,0.160540388039,6.0
12.9569128847,86.9415662863,6.30169470011,7.66231343649,2.0,0.800315226913,11.0415789184,1.55482954616,4.0,0.010786930985,0.0401331755,0.08357752765,0.0933393421012,0.0554614580653,0.0590756376842,0.107969871914,0.134994064831,0.108036328309,0.116409223976,6.0
13.6533922817,87.2575755425,6.38663116455,7.56838209286,3.0,0.811102157898,11.0817120939,1.63840707381,4.0,,,,,,,,,,,6.0
5.27519529553,37.5150934809,73.8816181313,7.28242266679,0.0,9.38296550268,4.76441687207,0.633023435463,5.0,0.0859077482,0.12540288432,0.141670803014,0.207789896345,0.0913715798699,0.137069440845,0.159777216832,0.229489773716,0.210107747193,0.217272671195,3.0
6.45578532064,38.5025177669,74.5580570936,7.29324416193,1.0,9.46887325088,4.88981975639,0.774694238477,5.0,-0.07018117524,0.14664647182,0.077082819155,0.179923167114,-0.026877754084,0.127651927879,0.0915591750174,0.159375377288,0.167837309233,0.151522900463,3.0
